Pressure, Change in distance between ball and goal
7.55765e-05,1660.44
0.00150501,688.487
0.0133464,1174.36
0.0186112,143.42
0.0194752,-820.992
0.0674217,-130.768
0.0699677,-131.873
0.0721564,-480.464
0.0742126,-510.731
0.0812039,1897.37
0.0868024,2049.87
0.0886378,2608.27
0.0893176,373.899
0.11047,749.743
0.110594,3209.32
0.112429,-420.867
0.11425,482.452
0.115943,-898.188
0.116502,-957.323
0.154023,-267.215
0.160258,1989.83
0.16075,787.341
0.161541,749.506
0.168676,2184.79
0.169764,2342.45
0.176558,311.525
0.180864,-576.567
0.181496,-394.735
0.183827,3273.45
0.184173,-537.572
0.188397,-139.802
0.192513,2368.1
0.193808,707.742
0.195657,1163.84
0.197885,-135.514
0.20125,380.158
0.201879,372.656
0.203939,936.917
0.210488,-258.801
0.210806,929.472
0.217518,-373.963
0.224087,291.144
0.228147,389.944
0.229996,-1941.11
0.232434,1596.65
0.240432,-397.367
0.250372,1404.9
0.260709,394.457
0.263148,690.334
0.269582,-165.709
0.270109,-610.127
0.271231,2329.18
0.271875,185.662
0.277784,-1001.71
0.278062,-757.188
0.279034,1002.41
0.284195,-1308.51
0.285928,130.864
0.286624,2153.32
0.286653,1587.7
0.289567,-186.326
0.291931,2693.17
0.292375,296.787
0.294283,-228.158
0.300225,-863.427
0.306146,96.988
0.313993,-533.754
0.314493,-836.502
0.318813,2059.31
0.32226,2916.58
0.32447,982.655
0.336604,760.952
0.337378,1117.38
0.347732,-21.4468
0.356193,-89.0732
0.356549,451.099
0.363436,5.22028
0.368693,80.6542
0.369432,2016.79
0.374195,1439.77
0.376508,-495.911
0.381478,-919.698
0.384111,2979.14
0.385603,1077.62
0.39634,675.653
0.397649,34.761
0.399549,-961.309
0.400524,1000.34
0.404655,1745.46
0.406564,-190.602
0.414259,-1305.66
0.419878,-353.923
0.422728,1222.95
0.427379,-888.483
0.427406,65.3865
0.437728,629.999
0.439786,1351.49
0.443886,2144.83
0.448453,1385.94
0.450084,-51.4077
0.453323,-255.487
0.463205,-713.321
0.464725,-475.16
0.469802,281.068
0.476444,266.894
0.476747,98.8366
0.485288,2134.8
0.502087,1778.14
0.503105,1020.99
0.503648,-539.519
0.505777,2066.38
0.509809,219.135
0.510998,363.607
0.512385,2020.21
0.513483,1490.62
0.516118,90.4349
0.518261,1404.57
0.521601,323.366
0.521934,-465.271
0.522875,-312.68
0.527702,1807.47
0.531903,340.149
0.533726,469.386
0.534,926.864
0.535962,2320.04
0.537516,663.309
0.542899,-132.303
0.544451,388.221
0.544576,115.988
0.545358,-415.904
0.546731,2885.55
0.547894,679.643
0.550544,512.651
0.55692,-18.7236
0.564313,-534.425
0.564606,69.1653
0.565573,333.206
0.569799,-84.3
0.582072,1566.94
0.585399,1112.98
0.585585,37.0368
0.587491,-730.236
0.591434,455.823
0.592044,590.428
0.592604,-1002.11
0.599432,545.446
0.615184,162.881
