Pressure, Change in distance between ball and goal
0,413.677
0.00163658,729.512
0.00549517,2710.21
0.0330707,324.549
0.0360724,2224.99
0.0468321,-17.086
0.0480585,-208.353
0.0520837,352.484
0.0637549,1417.21
0.0657424,2526.72
0.0706718,-108.786
0.0752917,-909.615
0.0757796,-122.342
0.0810024,600.305
0.0816364,1643.5
0.0930657,-1571.32
0.104311,2036.18
0.105555,1704.29
0.105691,-209.078
0.109301,1175.57
0.110003,414.026
0.115034,1578.48
0.11544,231.143
0.130473,-1076.06
0.132228,2593.64
0.133051,-133.682
0.133844,345.111
0.153773,-497.371
0.157146,632.279
0.162005,644.511
0.178256,-1095.36
0.188546,-953.459
0.188946,-1.34962
0.191459,-212.379
0.202748,-1189.13
0.206125,163.063
0.20755,-341.758
0.209304,-495.19
0.209827,2175.05
0.210101,2103.54
0.22393,-1048.76
0.225102,810.884
0.232796,-777.879
0.232846,-83.8024
0.234189,-1448.69
0.235538,1443.55
0.247673,-21.6083
0.248232,837.593
0.25332,743.471
0.258643,-549.603
0.259569,-436.153
0.263764,1184.62
0.272795,1195.18
0.273829,2030.62
0.275245,631.477
0.28052,786.32
0.286691,1870.39
0.289792,-669.136
0.292812,1297.04
0.292853,644.147
0.3027,4.88684
0.309328,2024.05
0.313246,1157.23
0.320331,2808.19
0.322162,1536.69
0.324635,-857.976
0.32488,-340.602
0.330711,270.198
0.343708,-167.974
0.350707,156.125
0.354415,677.101
0.361889,1018.37
0.368572,602.231
0.37773,1215.02
0.379483,70.3088
0.391302,-53.1511
0.396466,-512.763
0.396611,113.021
0.399641,-215.824
0.399737,718.667
0.401049,-110.838
0.405835,2026.27
0.406116,-184.057
0.409668,617.833
0.416201,-295.451
0.418071,-498.203
0.419105,-387.001
0.424913,310.47
0.430092,2343.17
0.432299,284.295
0.436442,203.08
0.440847,-1182.44
0.441996,673.613
0.443469,1003.61
0.446225,-426.94
0.450162,-524.926
0.451117,1330.31
0.454864,1110.47
0.459012,920.21
0.459118,622.808
0.463964,-1595.6
0.46835,330.968
0.476664,143.446
0.477861,-1895.66
0.485626,259.196
0.489574,-1036.25
0.506112,2489.53
0.509333,31.2405
0.517098,1146.66
0.517242,-734.419
0.517991,31.3354
0.522297,2159.48
0.522395,311.109
0.523434,1384.9
0.524375,-126.594
0.530255,-302.087
0.533686,-11.5597
0.535795,740.642
0.536854,-1588.45
0.537599,-190.353
0.546182,1855.37
0.546418,-1249.75
0.550609,666.858
0.551498,214.145
0.551556,684.202
0.553524,704.53
0.554004,2882.46
0.557197,2330.48
0.558045,550.85
0.566478,-505.68
0.567519,2933.85
0.567679,1724.46
0.568435,2632.59
0.573385,691.804
0.581577,909.682
0.591351,-57.556
0.593275,-123.409
0.593281,1216.35
0.601124,1534.97
0.604436,239.316
0.613137,-123.396
0.617461,1483.65
0.62231,435.905
0.624112,-405.322
0.626141,1629.24
0.6269,303.229
0.634147,-1173.35
0.64348,2883.26
0.66402,-864.044
0.667898,87.023
0.677822,-109.411
0.682439,-23.9672
0.682898,148.132
0.68354,2286.26
0.684668,46.0888
0.684928,620.613
0.686053,-310.661
0.69576,-780.25
0.700027,-1020.73
0.700938,491.86
0.703686,785.963
0.708566,-778.909
0.722828,-1463.46
0.730583,321.814
0.737365,40.589
0.737384,1522.68
0.739157,-950.139
0.743752,1424.39
0.746457,580.843
0.760177,-1427.84
0.778626,372.91
0.779638,-888.641
0.782813,-1363.2
0.78831,-685.292
0.797275,1979.34
0.821425,870.611
0.822898,1389.57
0.826291,96.6242
0.828384,1360.67
0.831704,684.274
0.835232,-1254.03
0.84435,70.3494
0.851103,1095.26
0.855667,740.736
0.859706,2053.57
0.861577,593.175
0.863008,554.983
0.865333,315.734
0.8691,756.069
0.887798,730.632
0.8996,995.759
0.90273,861.764
0.90768,535.947
0.930351,-1134.76
0.933271,-85.5338
0.940867,-299.723
0.951222,998.198
0.959474,2018.72
0.964839,3331.75
0.96805,129.136
1.00015,98.0812
1.01043,1250.43
1.03111,199.429
1.041,1078.01
1.04489,1935.05
1.04645,-583.804
1.05242,2107.86
1.06206,-254.474
1.06566,-787.061
1.07458,-336.847
1.07483,124.353
1.07549,-140.25
1.08067,16.7378
1.08993,1471.64
1.13049,554.147
1.14133,245.803
1.14736,805.463
1.16769,-1116.25
1.20428,-19.6829
1.21636,-377.589
1.22193,1452.6
1.22534,79.0648
1.23816,1844.65
1.23946,-2079.72
1.24037,46.9646
1.25524,249.557
1.25552,1159.48
1.25699,1903.62
1.26646,1022.7
1.27662,591.765
1.27678,1227.19
1.28883,-1424.49
1.2994,580.08
1.30283,139.392
1.30965,280.027
1.32515,-159.185
1.33112,-411.849
1.33375,-466.073
1.34509,230.122
1.35997,1460.66
1.36076,1027.36
1.3673,157.056
1.37768,-1022.25
1.38095,-1034.06
1.39105,41.4087
1.39514,-3052.29
1.40093,-158.183
1.44786,297.65
1.45406,720.267
1.45459,53.7249
1.46483,605.434
1.50713,-329.344
1.51769,-1.99537
1.52461,-240.618
1.56816,-1246.34
1.57148,-463.313
1.58643,-848.412
1.61483,1563.79
1.63726,1618.45
1.63891,281.49
1.7013,764.77
1.72604,805.187
1.77455,-139.762
1.79758,623.023
1.85119,1939.49
1.85507,293.333
1.86233,-366.068
1.86842,-199.482
1.88153,208.615
1.8904,1141.07
1.92034,1030.35
1.94758,680.217
2.09434,677.543
2.18675,-71.7639
2.19363,721.167
2.21289,-1014.64
2.23563,-535.922
2.29529,-132.176
2.29613,762.655
2.29622,483.227
2.38524,-154.246
2.42692,-55.0881
2.4398,411.95
2.44587,-43.2722
2.47226,1519.2
2.49524,2113.96
2.58728,518.912
2.62647,-1131.4
2.62844,1299.26
2.80675,-46.918
2.8179,-136.435
2.98546,1634.78
2.99245,237.044
3.02644,279.79
3.27295,237.286
3.58781,741.913
3.88849,2955.46
