Pressure, Change in distance between ball and goal
0,2504.1
0.0170281,391.376
0.0182345,824.163
0.0216829,344.843
0.0375135,224.568
0.0380449,-166.486
0.0628428,-59.8881
0.0654098,538.768
0.0708521,2197.11
0.0977399,979.215
0.0984709,84.4765
0.102489,-391.821
0.12022,447.898
0.124568,-321.258
0.141229,2719.55
0.159517,-1099.75
0.163478,4.3522
0.182403,326.129
0.18308,-683.947
0.185644,-166.07
0.19055,-336.671
0.194547,-729.443
0.195627,2171.46
0.205423,-1404.55
0.208411,805.693
0.211278,-1044.2
0.221451,2034.08
0.223498,-264.235
0.22482,650.494
0.229607,2915.77
0.240507,1995.53
0.241332,106.686
0.244277,516.623
0.248406,1873.93
0.248476,1357.05
0.252196,-536.495
0.252754,3386.78
0.254184,854.55
0.263203,1733.08
0.263267,-208.344
0.263317,-777.471
0.268111,1550.04
0.272203,-65.3627
0.278532,424.908
0.278708,723.986
0.279742,192.86
0.288819,3214.61
0.290031,-228.887
0.290737,1158.09
0.291963,2126.15
0.292184,-1046.17
0.292504,322.187
0.29343,1759.66
0.29757,1034.06
0.300542,-383.985
0.30098,-172.905
0.302202,2741
0.302937,-889.828
0.305174,1968.3
0.30901,1310.91
0.314299,928.476
0.322247,-136.459
0.324576,-211.844
0.324908,800.538
0.328136,-291.508
0.330486,-282.503
0.340042,116.28
0.340509,2310.08
0.344435,2868.21
0.345895,1509.43
0.348189,859.053
0.364212,-664.869
0.365362,1728.66
0.365919,2361.38
0.369754,-594.323
0.375229,531.491
0.380629,1616.59
0.388011,-601.246
0.390215,367.972
0.390967,189.518
0.393061,291.779
0.413636,744.642
0.415635,-214.022
0.420325,995.431
0.42584,-382.331
0.426072,-129.611
0.4399,-1034.45
0.441176,1108.37
0.449231,3683.21
0.455897,1349.69
0.467312,667.143
0.46781,2436.12
0.468621,1064.49
0.468974,1018.2
0.476506,-658.781
0.485422,-420.63
0.500655,2911.8
0.505827,1311.52
0.506327,-497.55
0.508109,-48.5876
0.515181,640.083
0.516829,953.789
0.524254,2058.38
0.526431,-275.31
0.530198,751.761
0.531,381.843
0.531073,-2764.98
0.531867,1481.19
0.532375,637.284
0.533912,733.695
0.536049,399.87
0.536537,939.196
0.537065,-355.712
0.537465,726.432
0.537997,-482.738
0.541064,-266.294
0.543481,620.438
0.546654,981.252
0.547406,-455.687
0.549146,1001.85
0.552553,2398.03
0.552802,-998.914
0.553991,-104.319
0.565087,-167.001
0.566102,-532.266
0.571125,1501.84
0.574637,-1021.13
0.582728,821.049
0.583918,-309.817
0.586523,-153.331
0.587117,1144.09
0.591489,-597.824
0.598099,2208.18
0.599439,1708.83
0.600335,312.222
0.602342,-670.47
0.609044,-927.433
0.609584,-744.41
0.610308,2277.58
0.610741,-62.4826
0.612895,1238.46
0.619207,-35.5499
0.62768,1635
0.631386,-40.1368
0.642215,935.867
0.673359,-670.054
0.674208,-52.1815
0.679411,-1119.57
0.680996,201.379
0.686044,605.067
0.699888,811.068
0.703473,1076.55
0.720375,1649.9
0.723711,1612.88
0.728696,75.1946
0.731264,350.556
0.732299,443.55
0.734653,-380.592
0.736835,547.198
0.740654,1313.88
0.747622,-179.412
0.752365,647.314
0.752517,351.977
0.753638,441.452
0.756239,1812.5
0.756887,-144.917
0.758364,554.603
0.768721,-881.187
0.780183,1599.38
0.788723,1122.07
0.788932,-178.493
0.791678,782.775
0.792845,1938.78
0.800724,-1881.29
0.80901,381.468
0.809782,1587.98
0.812638,1175.02
0.816316,1291.28
0.820508,1389.37
0.823344,1993.52
0.826871,1859.22
0.835729,2311.37
0.845175,-1374.61
0.846463,1454.29
0.871413,1680.03
0.872636,2802.8
0.875829,2501.37
0.888819,285.118
0.894271,-777.296
0.896558,-1035.12
0.91003,2003.95
0.918224,787.03
0.926413,1119.46
0.937247,-1124.11
0.939659,-410.476
0.942922,2931.1
0.94393,1419.39
0.946903,1315.4
0.961865,-665.255
0.964751,-1689.61
0.970618,1185.29
0.971654,-230.502
0.976054,403.537
0.980583,-709.877
0.990594,2037.45
1.0062,2146.2
1.01851,966.048
1.02184,-1352.22
1.02215,-22.1099
1.02609,2184.68
1.028,-1039.11
1.03366,668.196
1.06833,1026.43
1.0718,64.9813
1.07345,1851.43
1.07602,-198.924
1.08874,1260.48
1.08926,1289.17
1.09718,2572.02
1.1024,2706.85
1.10776,591.584
1.1177,712.475
1.11846,428.847
1.11893,226.728
1.11905,-363.293
1.12227,185.621
1.12425,152.722
1.13472,-1013.92
1.14227,1582.07
1.15986,396.555
1.18215,3052.74
1.19635,2315.48
1.2016,1944.43
1.20177,-212.315
1.20384,77.456
1.20665,613.554
1.20821,617.138
1.21444,-415.072
1.22684,254.998
1.23161,1621.37
1.24279,1959.79
1.24576,1762.26
1.26622,2798.21
1.28067,1785.33
1.2834,308.184
1.28546,-922.116
1.28895,380.646
1.29285,-541.594
1.29468,1585.69
1.31039,-714.204
1.3127,2321.68
1.31687,1108.8
1.31794,1262.12
1.33005,2939.37
1.33973,461.332
1.34622,1785.5
1.3466,783.117
1.35605,235.01
1.3717,1989.99
1.37709,104.807
1.38108,25.0569
1.41359,1107.56
1.41536,503.451
1.43109,-1197.95
