Pressure, Change in distance between ball and goal
0,-651.829
0,-165.835
0.00266636,1370.02
0.00713213,-38.3369
0.0232911,-391.055
0.0290294,-294.862
0.0347231,-124.777
0.0353743,-340.179
0.0415034,724.645
0.053503,958.503
0.0553025,-1275.09
0.0598941,-31.9277
0.0789745,78.9238
0.0885282,-2057.72
0.0935044,709.958
0.0967828,-456.982
0.09938,1084.61
0.103543,-197.949
0.117111,-892.758
0.117247,175.196
0.123909,117.677
0.132476,399.937
0.135384,133.249
0.13549,1808.54
0.137679,619.533
0.140717,-1271.7
0.15055,-1105.79
0.15234,1886.51
0.154405,212.895
0.1549,796.024
0.156304,946.694
0.158594,-369.095
0.158656,-29.8155
0.161129,-12.4268
0.163539,-1634.79
0.167343,1067.85
0.172691,-1347.95
0.176751,1403.61
0.181153,943.621
0.188241,-676.483
0.189754,1356.93
0.194578,-1002.39
0.197331,-1134.81
0.200412,-1019.38
0.202945,1152.14
0.207641,-1420.14
0.208026,-95.9192
0.20885,-985.624
0.209386,966.606
0.209754,411.162
0.211145,363.303
0.214286,-945.414
0.218764,-1313.92
0.221225,288.627
0.221646,-37.641
0.222929,-1708.19
0.224335,-521.206
0.224406,1438.61
0.225013,2776.9
0.225648,-170.112
0.228344,-341.11
0.232532,1.62589
0.232656,463.707
0.232811,1412.99
0.235703,624.204
0.235993,625.622
0.237645,1389.84
0.242843,2133.83
0.24409,-134.365
0.248079,-364.34
0.248502,1151.39
0.249646,1296.6
0.250118,55.1016
0.253532,-123.923
0.253589,1352.71
0.257038,529.18
0.257137,714.831
0.259583,-960.995
0.259875,222.761
0.267312,-369.55
0.267317,1248.03
0.272481,-56.9231
0.274972,938.883
0.275975,-250.701
0.283488,-682.178
0.285366,859.662
0.286419,-243.592
0.288956,-11.6205
0.293114,160.422
0.299048,-835.1
0.300347,-110.149
0.303395,-187.247
0.303816,-128.319
0.306091,2392.2
0.311737,66.0114
0.319578,-209.28
0.321,891.327
0.325455,13.0968
0.326207,187.85
0.326219,1129.64
0.329382,-907.393
0.33006,-1524.46
0.331416,2010.83
0.332789,-402.7
0.33884,-152.265
0.339469,1020.23
0.340171,1362.16
0.343024,-696.935
0.346206,-620.795
0.352337,466.892
0.355566,1415.95
0.356131,-863.677
0.358572,252.924
0.360482,601.341
0.365143,-946.227
0.367738,198.342
0.368653,1331.26
0.375288,56.9458
0.376915,-1758.64
0.380208,354.243
0.385398,-676.305
0.385587,197.395
0.387267,-1951.77
0.397079,-68.1668
0.397828,-204.415
0.398046,1198.75
0.398647,8.16899
0.398856,-215.943
0.400398,-97.484
0.401612,141.673
0.407808,-99.0181
0.410198,646.723
0.411265,-426.406
0.411834,1932.17
0.412145,1003.08
