Pressure, Change in distance between ball and goal
0.00657831,-404.763
0.0070767,428.148
0.0405519,1480.79
0.043253,-233.262
0.0451341,-620.619
0.0512091,379.243
0.0521169,-339.495
0.0534214,65.5219
0.0562768,681.033
0.0641018,2675.68
0.0774104,-1683.95
0.0792345,171.276
0.0822587,210.829
0.103342,1928.14
0.10475,-81.8965
0.115327,-542.946
0.11658,526.923
0.121156,1136.3
0.122291,-927.016
0.122462,-400.259
0.123766,-841.607
0.131592,222.002
0.132047,781.745
0.13599,785.849
0.140451,350.98
0.141192,202.174
0.146083,390.232
0.146313,1521.18
0.146901,641.72
0.152559,-1388.79
0.155491,415.559
0.160317,1040.43
0.163096,243.74
0.166625,128.858
0.167387,1098.13
0.171872,526.968
0.174066,2079.28
0.178506,-1527.69
0.179101,-427.129
0.179298,1632.93
0.179318,-1379.99
0.181244,-389.796
0.184388,-784.34
0.184496,-1269.74
0.193483,566.982
0.194921,895.003
0.200492,-815.5
0.20193,408.591
0.202819,37.4583
0.204985,2914.97
0.206188,16.5729
0.211434,-601.178
0.211616,463.36
0.214321,580.075
0.219704,-233.108
0.22806,-167.564
0.228512,-86.2539
0.230727,489.902
0.233039,7.63931
0.237467,-979.976
0.245298,-1028.3
0.248232,1782.15
0.249477,-1213.17
0.268628,-996.266
0.269129,-1028.03
0.273134,-134.897
0.2757,-1780.98
0.276034,-1195.36
0.280436,-1241.77
0.281787,989.415
0.283226,-638.794
0.285091,-143.796
0.285176,613.905
0.288518,597.931
0.29,296.762
0.292092,312.616
0.292568,-897.031
0.293596,462.229
0.294855,3153.12
0.295669,-1530.48
0.299277,-1601.47
0.299755,306.329
0.300582,882.676
0.30838,722.516
0.310395,-1732.55
0.314069,1284.75
0.314187,-551
0.315669,13.7272
0.316988,-681.92
0.317213,629.653
0.318754,-526.159
0.319645,1422.49
0.32126,-889.269
0.325127,469.888
0.327903,919.974
0.332001,-2011.57
0.334008,-428.044
0.335883,-2498.53
0.336049,1974.4
0.339846,1927.92
0.340315,-804.612
0.341427,-121.423
0.342336,1433.44
0.342597,133.816
0.342867,-228.084
0.342968,-966.666
0.344427,-1114.96
0.350738,347.966
0.354567,-1955.32
0.355969,351.528
0.358533,84.6007
0.359429,1509.1
0.359564,683.032
0.360231,646.995
0.361036,771.121
0.361342,769.998
0.362464,255.669
0.362691,992.056
0.3679,-2408.36
0.369114,-650.934
0.37041,959.997
0.370486,524.77
0.370871,151.21
0.371417,-982.743
0.37327,2006.28
0.379424,990.958
0.381645,1324.78
0.38357,-507.531
0.386566,1024.66
0.395041,-1985.75
0.402202,-645.149
0.403918,-183.733
0.404317,953.943
0.404486,-1240.83
0.409152,82.9099
0.411562,1265.37
0.411677,1611.66
0.414895,-1208.55
0.422171,287.993
0.423275,2458.01
0.425804,-46.5782
0.42938,627.009
0.434972,-307.611
0.436037,-77.5687
0.437161,2975.1
0.43894,2171.32
0.440346,-600.331
0.441965,330.381
0.443588,513.803
0.44404,-1040.39
0.447495,2037.57
0.44929,383.81
0.45125,-982.8
0.455377,1808.9
0.459797,-602.984
0.463498,1453.68
0.469171,57.7452
0.471611,-557.778
0.474705,445.968
0.475866,270.224
0.47738,680.556
0.478387,559.988
0.489759,3473.76
0.490194,1457.99
0.502713,394.221
0.505778,-2313.55
0.511558,-1324.61
0.512984,359.718
0.51507,-399.79
0.518696,-469.235
0.520782,-355.705
0.524027,710.18
0.526431,282.895
0.527097,469.261
0.528248,-1062.12
0.533357,1080.91
0.537979,247.061
0.537982,635.85
0.539146,-2013.33
0.552589,451.783
0.563884,2342.88
0.568429,579.36
0.568624,-229.789
0.56971,-653.726
0.572942,-444.829
0.573435,200.476
0.574418,2132.04
0.575693,-1010.2
0.576489,1372.42
0.583878,806.724
0.588097,149.654
0.589936,1385.03
0.592246,-151.879
0.59309,2726.05
0.59511,-1291.9
0.612465,7.90361
0.615244,1026.53
0.616664,1910.23
0.618839,383.68
0.620034,1180.04
0.620956,148.928
0.632091,-1175.9
0.632885,391.065
0.632891,1239.86
0.64045,-708.714
0.646359,591.518
0.646645,-1911.66
0.650073,-657.01
0.653936,713.001
0.658653,668.616
0.662148,924.477
0.66373,-1158.6
0.667201,-1.06052
0.669737,821.787
0.674311,532.773
0.674779,731.097
0.676481,192.397
0.676725,1577.01
0.680294,113.102
0.683507,2083.5
0.685004,129.153
0.690784,-558.793
0.692595,1568.09
0.692888,-297.107
0.695258,819.26
0.696158,-921.003
0.697856,-821.037
0.699363,-1096.83
0.702914,761.558
0.703204,134.218
0.710755,13.0487
0.714269,291.625
0.716638,-264.304
0.717708,-699.713
0.720326,-1051.84
0.720553,-395.714
0.722432,1281.55
0.72824,1529.91
0.730936,-196.203
0.73147,196.365
0.735453,1484.09
0.74756,-1908.05
0.75001,-821.474
0.753979,441.72
0.757558,-920.675
0.763563,139.675
0.768078,-667.854
0.771244,-586.557
0.771932,-142.811
0.773145,31.9023
0.779106,-427.256
0.779723,1673.9
0.783285,-328.135
0.785687,-372.61
0.785971,-799.56
0.789942,420.832
0.791059,-470.655
0.79361,932.328
0.794154,-279.485
0.800507,-259.625
0.80118,-501.93
0.801304,-449.792
0.802198,2175.83
0.802335,321.07
0.806617,1393.01
0.808218,247.37
0.811578,2237.06
0.814645,2403.79
0.831201,-1529.59
0.837235,17.0739
0.850131,-692.222
0.85281,23.6685
0.866229,-378.812
0.86713,247.458
0.867757,-366.984
0.868067,442.961
0.872156,-811.791
0.873722,-471.585
0.882075,978.663
0.884824,491.648
0.895989,863.077
0.897077,-846.447
0.904794,153.698
0.904995,294.116
0.905935,-273.197
0.912701,1585.54
0.918152,916.003
0.919104,52.0978
0.921343,-990.589
0.923507,-108.223
0.926116,-633.457
0.942651,614.028
0.958593,759.309
0.961534,1157.6
0.967162,187.445
0.969954,-2103.13
0.971397,-522.214
0.980282,3704.28
0.983354,783.791
0.986625,-677.667
0.986634,705.283
0.989093,-1007.23
0.989916,1381.56
0.999613,1991.32
1.00536,130.389
1.01162,-142.887
1.01297,-752.356
1.02532,1774.66
1.02783,-275.607
1.02955,-569.241
1.03159,1292.36
1.03232,2742.42
1.03551,1248.56
1.03732,-354.184
1.04135,1971.85
1.04762,-850.27
1.05033,309.703
1.05359,-2.8049
1.05488,3106.37
1.06167,1064.5
1.06591,1011.74
1.07442,1997.52
1.08158,-1326.87
1.08253,535.795
1.08632,107.807
1.09407,-757.445
1.10672,43.7397
1.10719,2229.89
1.10788,240.461
1.10813,2870
1.1147,-425.273
1.11541,-1352.32
1.1241,2714.91
1.12608,503.768
1.12794,548.593
1.13916,1796.4
1.13964,1883.89
1.14063,1115.88
1.14278,-623.323
1.14418,1109.63
1.14492,417.492
1.15495,-307.374
1.15503,-426.882
1.15789,1688.44
1.16553,313.778
1.1703,2751.09
1.17761,142.544
1.18251,-982.929
1.18759,59.4081
1.21306,596.514
1.2252,-711.644
1.22921,1064.53
1.23279,968.152
1.23884,1388.25
1.23982,593.777
1.2583,222.684
1.26059,901.021
1.26833,293.393
1.26904,674.216
1.27206,471.807
1.27508,-45.1701
1.27751,680.473
1.27775,3461.71
1.28127,668.362
1.28433,1046.89
1.2932,440.751
1.31047,504.087
1.31728,-65.5641
1.33196,567.635
1.33209,980.354
1.3355,328.693
1.33599,-108.55
1.34253,696.79
1.35553,173.264
1.36185,1238.84
1.37397,-453.806
1.3761,227.218
1.37909,2901.61
1.38517,367.229
1.40776,-2162.56
1.41375,265.171
1.41975,1858.78
1.42787,1045.24
1.42832,-441.509
1.4451,-595.136
1.44535,919.804
1.44968,-560.308
1.45055,-1123.72
1.46004,1012.43
1.47083,-22.2956
1.47683,-802.405
1.48442,168.623
1.48442,144.433
1.50379,-330.518
1.5184,1319.72
1.52115,1510.94
1.52286,-441.84
1.53406,-188.926
1.54192,-258.283
1.56308,450.117
1.57579,2010.8
1.57714,2351.19
1.57863,561.022
1.57935,-466.029
1.58035,527.991
1.58109,-215.159
1.60763,430.479
1.62324,203.914
1.62516,-3472.7
1.63393,-654.253
1.64086,-1295.18
1.64341,938.693
1.65425,1231.08
1.65858,-91.8807
1.68453,-613.705
1.68945,-98.702
1.69596,991.856
1.69825,-325.932
1.70384,812.534
1.71325,-324.834
1.72857,1472.02
1.74044,180.616
1.74966,60.8602
1.75416,2703.32
1.75739,2445.39
1.77416,59.8196
1.79267,293.762
1.81343,-779.248
1.85531,351.292
1.86428,245.486
1.90268,-929.44
1.93188,1030.63
1.93272,660.012
1.95719,-714.612
1.95767,387.533
1.99258,-40.2462
2.0076,1728.25
2.01877,-1686.69
2.02264,-282.961
2.0344,-1503.43
2.06884,32.8597
2.13634,575.75
2.17115,-725.869
2.26088,289.585
2.29159,9.79406
2.37145,-580.536
2.39704,588.764
2.40539,-70.1206
2.41984,-60.7721
2.42836,631.714
2.45577,1126.95
2.4722,1140.92
2.51633,415.122
2.5196,467.846
2.63871,473.392
2.7271,-82.4509
2.74824,-130.182
2.90903,526.516
2.92399,1494.21
2.97848,915.728
3.10941,1199.94
3.16328,-1792.72
3.21526,-565.71
3.3396,-475.519
3.34342,466.302
3.36262,770.946
3.41656,655.722
3.43543,370.781
4.07469,-16.3814
5.16187,1177.06
5.25169,-485.045
6.38932,-302.369
