Pressure, Change in distance between ball and goal
0,967.246
0.00685516,-272.74
0.00733751,40.4026
0.0280893,1267.93
0.0374732,-734.997
0.0386828,-391.667
0.0560214,305.435
0.05756,313.945
0.0578738,1045.21
0.0639001,283.03
0.0644489,-77.8772
0.0669364,2032.4
0.0708055,-991.238
0.0713998,1207.15
0.0730327,-948.781
0.0775673,209.724
0.0784536,1602.06
0.0787936,-1412.62
0.0837009,-663.343
0.0873749,1141.82
0.0888938,-430.716
0.0895205,779.816
0.0934574,534.059
0.0936018,625.957
0.0945131,-518.268
0.0972255,-2767.69
0.100054,331.249
0.10075,803.936
0.100896,-514.185
0.101162,-275.158
0.103046,448.454
0.106715,341.903
0.106738,-688.286
0.107572,-709.49
0.108261,664.851
0.114087,2554.55
0.115979,-584.847
0.118161,-233.013
0.118832,-477.517
0.121085,2115.05
0.127498,687.603
0.127526,1225.11
0.128603,-1164.24
0.129831,-444.193
0.132653,1090.39
0.135504,1962.04
0.135955,955.938
0.139505,393.75
0.139634,1196.14
0.145683,889.564
0.155491,580.68
0.157483,-1003.32
0.158387,-738.654
0.163379,-773.872
0.164754,1657.48
0.165549,-514.31
0.165702,-730.089
0.166188,238.639
0.167441,1119.86
0.167856,2176.96
0.169426,314.524
0.171392,-166.275
0.171858,-294.781
0.174632,982.394
0.178226,-1511.17
0.179087,1249.69
0.184924,396.444
0.185331,-249.832
0.188041,-1712.57
0.188565,1289.61
0.190076,1765.21
0.19054,-1043.04
0.192504,-120.148
0.194365,1753.35
0.196477,-1127.6
0.196534,1254.5
0.198349,180.041
0.198895,501.768
0.202568,-478.161
0.203752,-676.908
0.204191,2922.82
0.204515,-716.181
0.207631,271.848
0.207811,-1597.9
0.207905,1817
0.209644,-1281.32
0.211113,2836.49
0.211428,-303.634
0.213967,99.4784
0.215687,228.856
0.216583,573.046
0.218517,141.099
0.222415,-17.6231
0.224782,931.41
0.226303,606.309
0.231973,479.575
0.232492,-1438.89
0.232898,2462.17
0.233517,-158.401
0.233745,-742.783
0.233862,-608.864
0.237128,517.534
0.237204,-695.32
0.237747,645.627
0.238596,-53.6403
0.241591,10.1249
0.243077,738.851
0.246335,506.658
0.247675,639.628
0.24848,-959.584
0.248554,1994.98
0.249095,1417.72
0.249927,574.618
0.250053,33.6044
0.252618,-822.238
0.253589,157.844
0.253932,283.786
0.255344,415.013
0.25539,1038.93
0.257775,260.606
0.261341,-309.902
0.261508,2193.21
0.263733,849.483
0.263926,-400.603
0.264439,-560.431
0.266103,718.956
0.266669,-343.922
0.266806,729.472
0.270644,-557.463
0.273016,-432.446
0.274266,3897.18
0.274595,-148.457
0.275212,416.541
0.277253,518.958
0.279415,-3265.46
0.281434,1320.42
0.281904,-114.974
0.282892,2442.76
0.283902,527.533
0.284018,233.075
0.28594,813.913
0.287418,389.61
0.28748,508.471
0.287768,1081.1
0.291594,783.963
0.293678,522.954
0.293897,-237.151
0.297109,-1665.87
0.298644,134.166
0.299171,2115.47
0.304225,144.327
0.304232,126.803
0.304508,-1303.81
