Pressure, Change in distance between ball and goal
0,98.1323
0,171.157
0.0190293,2164.55
0.0241165,373.936
0.0337026,1038.61
0.0401292,-920.187
0.0601477,799.06
0.0622229,2195.78
0.0643977,2291.25
0.068862,771.344
0.0793417,2154.96
0.0823921,2093.79
0.105742,1566.69
0.118519,1287.94
0.122043,61.3856
0.160258,1989.83
0.168676,2184.79
0.182196,2085.21
0.197885,-135.514
0.210488,-258.801
0.243831,202.693
0.246985,-293.779
0.248061,622.208
0.258749,-660.632
0.261101,2441.44
0.271875,185.662
0.277849,2385.04
0.286624,2153.32
0.30541,858.338
0.318813,2059.31
0.364588,2892.19
0.368885,-523.999
0.369432,2016.79
0.385853,2238.55
0.392398,2207.75
0.39634,675.653
0.3965,-472.407
0.397649,34.761
0.405204,-798.286
0.406582,-919.685
0.419878,-353.923
0.427327,422.315
0.435412,-25.3923
0.438195,-171.208
0.445501,1531.68
0.452625,339.207
0.453078,2125.62
0.463729,-509.924
0.469802,281.068
0.476747,98.8366
0.479712,2214.45
0.503648,-539.519
0.509809,219.135
0.513483,1490.62
0.533726,469.386
0.545134,1154.2
0.547894,679.643
0.549523,500.84
0.582072,1566.94
0.585399,1112.98
0.588362,2286.29
0.592044,590.428
0.604358,-48.919
0.629413,82.5593
0.676262,1717.95
0.678429,943.021
0.68006,797.533
0.6882,-575.025
0.705687,1177.29
0.711905,-16.8163
0.712061,1446.96
0.722097,-284.385
0.738298,-1541.8
0.773851,1756.21
0.776505,-193.432
0.780196,1777.1
0.803986,1100.69
0.804167,243.647
0.809166,1520.15
0.820368,336.202
0.822684,-1312.48
0.835935,314.221
0.850585,2290.16
0.853447,297.009
0.85982,-183.769
0.869849,-950.195
0.877063,-926.677
0.891618,558.287
0.898321,-28.7048
0.907682,400.272
0.911658,-603.115
0.919711,1886.34
0.92707,-114.286
0.92987,655.148
0.940519,2777.3
0.948698,1117.06
0.971818,-547.132
0.997223,-321.167
1.00826,2467.81
1.02262,768.134
1.03592,3592.91
1.04688,940.744
1.05316,644.12
1.0566,-265.58
1.05839,892.55
1.07593,1692.38
1.12849,2578.96
1.14112,1695.85
1.17499,222.853
1.18349,-671.039
1.20495,3056.89
1.21321,899.111
1.2237,931.138
1.22565,3131.93
1.26425,1296.29
1.28149,1798.14
1.30418,1111.64
1.3147,300.561
1.33708,213.51
1.34,768.255
1.3737,-351.639
1.38406,191.942
1.42124,-250.966
1.42165,738.905
1.56715,2627.21
1.62958,-1058.71
1.64402,640.47
1.76874,-517.681
1.96038,3005.72
2.01004,438.422
2.14193,-803.108
2.15914,-891.289
2.2253,-760.113
2.35971,-1363.04
2.37368,-120.657
2.78359,935.826
2.82696,-1473.08
2.87947,1875.1
3.38128,-36.5352
3.44608,-228.363
3.80916,2797.58
