Pressure, Change in distance between ball and goal
0,140.22
0.00417747,391.189
0.0242784,1206.24
0.0290294,-294.862
0.034419,475.696
0.0380911,966.505
0.0497077,916.159
0.0699091,-853.359
0.117111,-892.758
0.150138,2302.71
0.151423,-294.256
0.151876,1880.37
0.208886,-28.6684
0.213095,-653.79
0.222136,1292.97
0.228449,906.984
0.240362,506.063
0.257786,94.2692
0.264547,-471.66
0.28873,1080.87
0.324171,-1231.46
0.328867,-599.799
0.331416,2010.83
0.388291,2167.18
0.395351,2268.86
0.430076,586.947
0.448515,774.202
0.449342,26.865
0.44991,131.741
0.471374,-695.871
0.481385,313.522
0.503687,-62.4537
0.528052,148.697
0.531986,329.757
0.548039,1350.83
0.567434,767.758
0.58303,2033.73
0.590607,-1383.53
0.602622,946.228
0.603397,521.519
0.635354,136.382
0.637858,890.563
0.63941,3845.81
0.676878,524.186
0.684935,-317.906
0.687564,833.407
0.723535,348.021
0.729844,-142.247
0.732845,-141.693
0.771089,2974.33
0.806949,-445.821
0.843259,463.351
0.860278,662.413
0.860872,-256.569
0.869308,2709.55
0.890631,-1641.86
0.891607,395.191
0.903144,666.864
0.905192,2204.57
0.907852,471.599
0.908033,1255.71
0.913892,117.923
0.981915,-524.418
0.986486,522.981
0.988442,1898.91
1.01651,1379.61
1.04743,663.521
1.0585,2638.7
1.0701,1085
1.0858,187.736
1.09795,2708.41
1.14113,-537.982
1.15299,-1027.64
1.16367,-298.442
1.16689,1954.88
1.17635,1650.7
1.17807,-469.727
1.23577,3474.6
1.2423,1675.96
1.30429,960.325
1.38316,1140.32
1.38938,-379.104
1.39017,2529.03
1.39511,427.547
1.48111,913.938
1.54466,-470.58
1.58297,-168.481
1.63899,1251.95
1.69644,742.003
1.70446,962.108
1.75099,1993.08
1.78453,1377.03
1.91528,-896.732
2.02668,285.648
2.35307,1072.42
2.38751,1496.42
2.39742,1489.78
2.39789,-1164.15
2.41402,-590.538
2.53464,652.011
2.54558,1752.32
2.6658,330.332
2.68329,3233.98
2.83641,391.251
