Pressure, Change in distance between ball and goal
0,686.252
0.0237802,791.978
0.0380449,-166.486
0.0560416,293.729
0.0566037,-235.463
0.0958948,456.773
0.0965389,1286.38
0.0977399,979.215
0.109827,3187.66
0.131301,852.565
0.135437,-374.485
0.138675,197.984
0.151825,400.937
0.160357,-1640.35
0.167479,51.0428
0.176844,228.191
0.178414,567.853
0.187964,133.942
0.194547,-729.443
0.213122,2664.6
0.214606,1988.96
0.223814,-1791.25
0.229607,2915.77
0.236066,2960.05
0.240507,1995.53
0.248476,1357.05
0.249271,1195.74
0.252754,3386.78
0.255951,3474.69
0.257381,2176.46
0.260531,231.291
0.265053,605.204
0.271871,1080.59
0.281616,341.909
0.296002,-69.7129
0.302202,2741
0.31881,617.556
0.328222,-250.703
0.330699,-290.533
0.336516,-210.739
0.340042,116.28
0.345895,1509.43
0.34943,348.306
0.354196,-115.699
0.359436,848.438
0.379729,2221.64
0.388011,-601.246
0.390215,367.972
0.393061,291.779
0.424139,51.9711
0.426072,-129.611
0.444711,1203.12
0.455897,1349.69
0.487182,-430.269
0.491829,-235.915
0.504301,2056.42
0.508954,2.71168
0.516829,953.789
0.521346,722.199
0.531073,-2764.98
0.536049,399.87
0.552553,2398.03
0.56514,700.498
0.56741,1954.89
0.568227,-884.276
0.57092,1109.13
0.571251,2074.01
0.575351,762.376
0.577802,537.432
0.582728,821.049
0.586568,266.919
0.594481,-431.457
0.598099,2208.18
0.599439,1708.83
0.609044,-927.433
0.60984,605.681
0.610308,2277.58
0.61713,2688.41
0.619645,-741.663
0.621257,1435.75
0.650825,211.3
0.66511,-605.476
0.670723,-392.7
0.673359,-670.054
0.703473,1076.55
0.703762,2007.89
0.71396,-192.916
0.722543,1249.15
0.729184,-293.372
0.729917,-493.774
0.753638,441.452
0.759425,1769.93
0.766283,-641.697
0.767687,312.525
0.768721,-881.187
0.769253,-456.122
0.774672,433.694
0.796792,626.368
0.804962,260.946
0.812638,1175.02
0.816316,1291.28
0.835376,613.396
0.856517,2876.69
0.869759,2109.17
0.887762,1765.22
0.905613,546.307
0.911688,224.081
0.924427,394.017
0.957556,654.046
0.969484,3235.48
0.978467,1399.43
0.985202,-802.558
0.990197,1098.48
0.996425,988.111
1.00124,2201.28
1.00929,1273.66
1.02184,-1352.22
1.02631,-346.08
1.05708,1100.07
1.08074,1001.56
1.09718,2572.02
1.1024,2706.85
1.1077,456.2
1.1177,712.475
1.11846,428.847
1.12425,152.722
1.1432,2620.93
1.16417,578.868
1.18683,-254.16
1.18977,1482.21
1.19378,385.805
1.1947,1082.67
1.1965,2134.58
1.20384,77.456
1.21101,783.367
1.28273,660.51
1.29565,-380.424
1.30931,-196.182
1.31223,1164.94
1.33005,2939.37
1.35446,1170.02
1.35553,1502.64
1.36298,1899.57
1.37278,-467.121
1.37348,-492.239
1.41359,1107.56
1.43903,1109.84
1.47986,459.46
1.49361,236.764
1.51942,2007.08
1.57616,1139.52
1.65852,2210.63
1.68254,889.975
1.70188,1379.26
1.71447,3582.99
1.72554,129.676
1.73404,1660.02
1.77823,173.037
1.85073,-65.0544
1.87421,242.721
2.00615,-531.213
2.07581,141.719
2.10033,-705.78
2.11894,235.157
2.16712,426.938
2.29295,-4.98709
2.32045,-668.112
2.33233,163.657
2.39857,-595.873
2.41749,-123.653
2.52762,926.968
2.57979,1720.06
2.60939,739.373
2.74791,1075
2.88025,1897.91
3.27272,21.2874
3.73966,276.946
5.00844,82.0182
