Pressure, Change in distance between ball and goal
0,185.862
0.0290294,-294.862
0.0431319,669.61
0.0471627,-181.15
0.0553025,-1275.09
0.0642064,32.7753
0.0644385,846.841
0.0789745,78.9238
0.097439,254.883
0.107845,351.319
0.117111,-892.758
0.145165,1640.14
0.147055,1821.85
0.152436,507.461
0.154079,238.837
0.1635,-84.9624
0.163539,-1634.79
0.172691,-1347.95
0.175461,-160.544
0.184983,337.887
0.197137,455.434
0.199899,1018.51
0.200412,-1019.38
0.211518,137.408
0.218764,-1313.92
0.218995,1063.29
0.222929,-1708.19
0.223716,-600.659
0.228177,1074.3
0.231492,186.688
0.237645,1389.84
0.237862,-152.025
0.245583,-878.425
0.245641,-182.542
0.253589,1352.71
0.257137,714.831
0.257786,94.2692
0.258812,2113.1
0.259583,-960.995
0.260765,368.747
0.260945,496.657
0.262327,-697.042
0.263166,842.768
0.268587,1911.05
0.271101,2432.67
0.273657,-292.175
0.274972,938.883
0.280679,1341
0.281755,-534.684
0.291692,1526.68
0.293846,-1155.11
0.300648,-267.492
0.302432,67.4848
0.303395,-187.247
0.303641,-692.057
0.307475,-58.2963
0.311368,232.115
0.316827,120.88
0.330023,-172.13
0.331416,2010.83
0.339469,1020.23
0.340635,226.357
0.341342,-463.297
0.34266,863.664
0.344833,-612.295
0.351347,-129.578
0.35164,-251.358
0.352337,466.892
0.355398,1137.99
0.360482,601.341
0.367366,-105.155
0.368447,204.383
0.376915,-1758.64
0.387144,1699.86
0.387267,-1951.77
0.391511,1304.93
0.392004,383.209
0.398647,8.16899
0.398856,-215.943
0.400398,-97.484
0.403301,2942.62
0.408622,-1919.04
0.410198,646.723
0.411985,162.714
0.412441,897.384
0.412619,819.941
0.418364,-3328.74
0.42835,1711.93
0.430076,586.947
0.437344,-116.37
0.447568,623.648
0.448949,3004.52
0.454546,-838.349
0.465924,586.308
0.470776,139.43
0.471374,-695.871
0.483678,47.2585
0.485426,3035.51
0.486132,-1121.11
0.488295,922.386
0.49222,-662.325
0.503687,-62.4537
0.5046,-415.057
0.509552,1793.82
0.510367,1140.34
0.511926,1018.3
0.512082,700.088
0.513357,-225.237
0.513784,-208.284
0.520626,2165.06
0.528145,-573.369
0.529751,683.142
0.535088,-430.682
0.537661,548.833
0.538538,-260.049
0.540136,87.4035
0.544967,290.32
0.548042,-1269.35
0.548054,184.966
0.556586,-1793.73
0.56378,47.7108
0.566861,1970.62
0.567434,767.758
0.569137,-856.386
0.569894,2641.49
0.575329,3707.05
0.57687,552.483
0.577137,759.388
0.588622,-675.425
0.59349,799.563
0.595538,-2132.12
0.600473,481.507
0.603397,521.519
0.609785,1002.37
0.610445,426.863
0.614225,1616.65
0.616965,1976.12
0.62107,-981.555
0.621577,256.963
0.622761,903.825
0.625974,72.4891
0.630709,808.404
0.631497,582.777
0.637858,890.563
0.646043,726.38
0.657432,-3873.78
0.659895,397.115
0.660735,-732.425
0.66551,1093.73
0.665518,556.648
0.668376,246.37
0.684935,-317.906
0.68889,0.372074
0.692714,936.033
0.695642,-376.613
0.697868,2670.1
0.702241,1246.77
0.704941,1721.92
0.711879,641.329
0.719476,-627.01
0.726815,-544.014
0.72928,-31.2796
0.731732,-119.45
0.742805,899.618
0.747303,639.368
0.74832,383.439
0.754557,-811.202
0.756232,1741.3
0.758353,-64.5592
0.762347,212.609
0.762441,572.089
0.773119,307.602
0.776821,526.175
0.777172,1394.45
0.779861,613.218
0.781283,-368.342
0.802184,888.822
0.803159,1178.03
0.806949,-445.821
0.808581,2374.83
0.819622,1386.85
0.820476,-1449.26
0.826275,348.194
0.828557,1883.54
0.837663,1372.05
0.839845,-138.255
0.842557,2058.75
0.844737,-85.947
0.854442,697.106
0.863488,837.757
0.869066,651.541
0.874446,35.8732
0.881657,344.809
0.884414,1039.62
0.885011,13.8607
0.885698,494.284
0.891736,793.276
0.900966,-865.338
0.905192,2204.57
0.908033,1255.71
0.912618,728.208
0.918027,666.682
0.918116,164.589
0.918346,827.08
0.918424,-919.908
0.924874,1468.26
0.926924,55.8377
0.927495,-282.717
0.944024,168.989
0.958064,1745.05
0.961745,-1978.31
0.968304,121.685
0.968778,2309.81
0.973899,1994.04
0.979449,962.609
0.987965,-783.426
0.995991,1066.15
0.997034,-371.767
1.00418,445.964
1.01651,1379.61
1.02422,694.1
1.0247,921.504
1.02545,-80.9689
1.0413,2965.9
1.05479,1052.43
1.07274,-963.967
1.08504,41.2466
1.09424,1803.98
1.09747,-33.5307
1.09795,2708.41
1.10311,-1950.59
1.11264,396.851
1.11996,-505.359
1.14407,885.427
1.15184,721.04
1.15872,-50.7621
1.16807,-418.086
1.17635,1650.7
1.17807,-469.727
1.18091,2506.88
1.19612,59.9251
1.21421,170.022
1.21623,2560.12
1.23577,3474.6
1.26973,-200.737
1.29051,523.778
1.30078,1492.29
1.3117,730.018
1.31954,190.843
1.33254,319.908
1.35043,1606.79
1.3575,-29.9274
1.37012,1086.09
1.38938,-379.104
1.39017,2529.03
1.39454,-83.6798
1.39599,-476.821
1.40566,1467.14
1.44007,1561.2
1.44167,1606.85
1.44872,-272.916
1.45341,1313
1.46324,638.744
1.47253,478.764
1.48111,913.938
1.48533,751.432
1.51992,917.241
1.53862,112.478
1.54702,-746.292
1.56349,2133.37
1.56959,1765.74
1.57101,1800.17
1.57705,1871.4
1.59996,-287.974
1.60597,1643.35
1.61683,-1031.09
1.63561,-206.579
1.66101,-117.271
1.68036,-664.236
1.69203,-422.587
1.7123,80.3454
1.79469,934.276
1.80278,-726.392
1.83198,567.567
1.84874,565.186
1.86359,-115.733
1.87571,2004.31
1.89675,643.07
1.91528,-896.732
1.95016,-1221.17
1.9719,-222.87
1.97632,-641.145
1.98103,526.382
1.98832,150.221
2.02207,-117.383
2.02575,-1007.18
2.02668,285.648
2.03055,-1166.27
2.06345,2912.52
2.13105,2351.91
2.2052,-313.994
2.25158,-814.047
2.26251,-241.404
2.29955,-673.851
2.34035,-304.12
2.40947,175.343
2.45419,248.799
2.5497,-9.93956
2.56193,323.127
2.5943,971.836
2.83641,391.251
2.9242,-538.613
2.94771,-286.468
3.16692,-5.00673
3.27256,1562.32
3.29508,-857.959
3.94978,-359.791
4.41863,-1136.31
4.58161,-60.566
5.4598,1788.47
