Pressure, Change in distance between ball and goal
0.0451341,-620.619
0.0631977,-512.251
0.0641018,2675.68
0.0726477,826.836
0.0738652,449.104
0.077366,-262.178
0.0782524,2744.41
0.0792345,171.276
0.0793117,570.06
0.0818547,496.222
0.0822587,210.829
0.0839249,-450.819
0.0866082,1597.43
0.0977212,823.895
0.112634,3347.61
0.112736,288.01
0.115327,-542.946
0.115445,1654.49
0.123766,-841.607
0.124414,397.559
0.139823,1146.43
0.140451,350.98
0.141192,202.174
0.142032,1089.43
0.145016,-209.606
0.161434,794.604
0.17051,454.144
0.171872,526.968
0.179567,-429.696
0.20193,408.591
0.204917,443.884
0.206188,16.5729
0.207777,-163.997
0.209356,-439.468
0.209916,-1523.3
0.214321,580.075
0.214964,139.977
0.216105,1906.4
0.231817,890.223
0.240082,-646.85
0.245507,-115.029
0.246415,415.299
0.248671,-415.065
0.252239,310.857
0.273599,733.25
0.274367,419.555
0.279162,-891.944
0.283738,1618.27
0.283751,-671.102
0.29,296.762
0.294855,3153.12
0.29656,621.925
0.299755,306.329
0.30838,722.516
0.317213,629.653
0.318172,2239.67
0.319645,1422.49
0.324936,1524.8
0.326776,-314.275
0.327109,554.703
0.328252,191.8
0.329208,763.923
0.333016,858.519
0.334127,1616.25
0.334645,1145.67
0.342336,1433.44
0.344427,-1114.96
0.344968,28.2281
0.359564,683.032
0.361342,769.998
0.363927,196.654
0.367263,714.593
0.368514,-455.148
0.368979,43.4161
0.373892,1343.68
0.395041,-1985.75
0.400105,760.947
0.404317,953.943
0.404317,-707.234
0.411562,1265.37
0.420555,3265.62
0.421373,2361.93
0.422529,-1800.31
0.427143,343.213
0.430913,650.242
0.431256,-325.057
0.437873,-1893.84
0.44169,1868.27
0.443588,513.803
0.447745,-22.6835
0.449421,-593.998
0.453671,1310.59
0.455377,1808.9
0.464843,905.149
0.471381,1074.23
0.473029,623.113
0.473054,2248.19
0.475342,1064.29
0.475866,270.224
0.478387,559.988
0.490194,1457.99
0.493239,-1035.6
0.497462,88.0621
0.505778,-2313.55
0.512798,-438.682
0.512984,359.718
0.513028,-960.358
0.51507,-399.79
0.518696,-469.235
0.519181,1233.88
0.524027,710.18
0.52693,-286.263
0.538736,-392.454
0.563884,2342.88
0.568429,579.36
0.579899,733.138
0.580357,67.9096
0.583878,806.724
0.584594,308.347
0.591704,-207.356
0.593614,728.643
0.599175,-233.654
0.603236,390.391
0.607691,288.418
0.614019,367.185
0.623468,1601.44
0.641544,-1546.94
0.647068,-427.691
0.64949,-79.1021
0.653936,713.001
0.667201,-1.06052
0.674311,532.773
0.681555,1783.76
0.682019,1506.28
0.687451,713.962
0.692888,-297.107
0.699363,-1096.83
0.700667,2573.28
0.703874,1507.28
0.706708,16.8815
0.718479,-207.113
0.720553,-395.714
0.73548,1482.4
0.73626,-866.026
0.737241,79.7014
0.762575,1582.39
0.763563,139.675
0.77133,2317.91
0.79361,932.328
0.802511,213.419
0.803661,-50.6682
0.804734,1685.16
0.814645,2403.79
0.826688,1028.17
0.831201,-1529.59
0.83123,1079.93
0.848991,479.646
0.863401,1709.95
0.863475,1406.14
0.864353,1087.66
0.868067,442.961
0.871507,718.531
0.882075,978.663
0.885879,-1505.43
0.894991,376.696
0.918152,916.003
0.91829,-72.8302
0.923507,-108.223
0.925214,45.5486
0.928334,1530.1
0.931785,581.178
0.937988,89.3721
0.950725,-691.443
0.955741,208.011
0.967056,1738.1
0.967162,187.445
0.969737,1480.26
0.978776,400.301
1.00536,130.389
1.03732,-354.184
1.04006,1039.41
1.05359,-2.8049
1.05488,3106.37
1.07607,2735.52
1.08158,-1326.87
1.11541,-1352.32
1.1195,1794.28
1.12961,-442.268
1.13916,1796.4
1.14418,1109.63
1.14741,885.733
1.15495,-307.374
1.16692,1673.24
1.17572,877.129
1.18251,-982.929
1.18425,3212.98
1.19574,312.995
1.20205,904.95
1.21259,2336.18
1.23628,2621.28
1.23874,46.2263
1.23884,1388.25
1.24436,727.571
1.25876,-1701.83
1.26589,-447.24
1.26858,419.299
1.28433,1046.89
1.3355,328.693
1.34581,3032.65
1.37828,361.35
1.39075,2749.73
1.40242,664.085
1.40486,1771.5
1.40755,-92.3884
1.45055,-1123.72
1.47683,-802.405
1.5087,2694.61
1.52554,2868.95
1.57863,561.022
1.58287,-83.198
1.63522,-458.632
1.64984,1584.37
1.68453,-613.705
1.72857,1472.02
1.73863,-1346.97
1.74398,-643.651
1.74966,60.8602
1.75416,2703.32
1.78556,684.175
1.81252,-1642.96
1.88678,-792.115
1.95568,45.7599
1.96089,-777.967
1.97005,55.9799
1.97464,-69.5907
2.02264,-282.961
2.02638,766.44
2.04156,668.741
2.09728,484.171
2.13136,-15.9706
2.16983,466.71
2.26088,289.585
2.29159,9.79406
2.37145,-580.536
2.3729,702.974
2.40539,-70.1206
2.41518,376.42
2.41984,-60.7721
2.45577,1126.95
2.51633,415.122
2.7271,-82.4509
3.31364,5.56451
3.48861,769.587
3.86183,1344.85
4.23673,1495.22
