Pressure, Change in distance between ball and goal
0,967.246
0,-211.101
0.0127121,3086.97
0.0155164,2050.48
0.021188,428.867
0.0276303,269.577
0.0280893,1267.93
0.0335198,268.823
0.0374732,-734.997
0.0386828,-391.667
0.0490316,1077.62
0.0537428,246.235
0.0560214,305.435
0.0576122,-824.502
0.0639001,283.03
0.0644489,-77.8772
0.0651684,-454.416
0.0679471,83.6716
0.0704666,1460.55
0.0713998,1207.15
0.0763877,50.0298
0.0775673,209.724
0.0934574,534.059
0.100054,331.249
0.10075,803.936
0.101162,-275.158
0.103046,448.454
0.105613,-763.309
0.107572,-709.49
0.110988,2165.77
0.114087,2554.55
0.118188,338.852
0.118832,-477.517
0.121085,2115.05
0.123066,1193.18
0.127498,687.603
0.127526,1225.11
0.128603,-1164.24
0.129831,-444.193
0.131035,-297.949
0.135504,1962.04
0.139505,393.75
0.140703,-196.326
0.145683,889.564
0.154029,-202.896
0.158387,-738.654
0.163237,2499.76
0.164647,1533.35
0.165702,-730.089
0.165799,-847.346
0.167441,1119.86
0.167856,2176.96
0.17077,267.8
0.177856,1036.53
0.184329,-1106.65
0.184903,-221.811
0.188041,-1712.57
0.190266,-347.229
0.191282,409.764
0.193024,989.353
0.202568,-478.161
0.203795,-308.593
0.204191,2922.82
0.204515,-716.181
0.211113,2836.49
0.211236,178.599
0.215687,228.856
0.216076,1339.06
0.222232,631.661
0.224651,799.885
0.226237,1520.85
0.229854,-288.042
0.230548,1231.38
0.232492,-1438.89
0.235222,-644.656
0.235827,391.527
0.236165,866.471
0.237747,645.627
0.238596,-53.6403
0.243182,-1477.45
0.243917,643.224
0.244784,-461.655
0.246335,506.658
0.24848,-959.584
0.249095,1417.72
0.250053,33.6044
0.251771,-224.158
0.253546,-181.954
0.257775,260.606
0.258291,596.491
0.261508,2193.21
0.263733,849.483
0.266349,894.12
0.268123,1215.45
0.274266,3897.18
0.27445,482.55
0.275212,416.541
0.277253,518.958
0.27906,1139.86
0.279415,-3265.46
0.28176,1242.13
0.281904,-114.974
0.282892,2442.76
0.284081,1417.52
0.286222,1171.6
0.286497,910.274
0.289421,-11.4952
0.290386,-6.31009
0.293678,522.954
0.295637,-200.353
0.296522,-690.92
0.30607,294.949
0.307245,-1172.48
0.308069,323.196
0.308825,61.7291
0.313044,-1602.23
0.313135,-630.345
0.31358,2770.05
0.314562,-278.415
0.314655,399.7
0.316663,900.326
0.317404,-1093.16
0.318717,1239.95
0.324794,868.685
0.325705,237.634
0.325781,218.287
0.326889,3207.08
0.32745,207.23
0.327721,-201.698
0.328644,1067.76
0.330414,253.817
0.3317,-257.693
0.331943,463.157
0.332924,-1143.88
0.341338,1627.98
0.341468,119.332
0.344142,-1023.53
0.345671,788.577
0.34575,1638.42
0.347531,-1254.51
0.348607,1415.44
0.351258,1073.25
0.35307,-1405.98
0.353641,-5.77045
0.355482,-631.171
0.355839,-86.4426
0.356595,3373.07
0.359379,-184.276
0.362985,-702.946
0.363001,721.756
0.36411,732.373
0.367565,-130.583
