Pressure, Change in distance between ball and goal
0,-1319.86
0.00243044,-749.866
0.0232911,-391.055
0.0290294,-294.862
0.0331497,-1029.86
0.0343375,-1307.1
0.0353743,-340.179
0.0415034,724.645
0.0548009,753.785
0.0553025,-1275.09
0.060898,-88.8323
0.073267,-1308.97
0.0746282,1416.2
0.0752018,185.845
0.0772114,-1923.93
0.0885282,-2057.72
0.0932004,-2057.96
0.0950912,-877.041
0.0957897,-257.628
0.0967828,-456.982
0.09938,1084.61
0.104211,-990.966
0.112933,-1091.5
0.11557,-930.366
0.117111,-892.758
0.129435,-258.367
0.135533,212.051
0.139554,110.768
0.140717,-1271.7
0.142054,-1204.96
0.145699,-653.816
0.147055,1821.85
0.147448,-4664.88
0.14828,-2687.53
0.151876,1880.37
0.153629,-1217.25
0.154079,238.837
0.158087,-25.5942
0.158656,-29.8155
0.161129,-12.4268
0.163165,-340.866
0.1635,-84.9624
0.163539,-1634.79
0.166914,-1613.26
0.16744,-1023.36
0.172691,-1347.95
0.175354,-291.291
0.179153,696.774
0.179736,-1524.16
0.181153,943.621
0.184173,-817.973
0.184983,337.887
0.195374,-1665.74
0.197331,-1134.81
0.198038,-1096.13
0.199765,-1156.25
0.200412,-1019.38
0.201651,1912.46
0.206991,346.234
0.209754,411.162
0.211518,137.408
0.213919,-739.465
0.215236,-1349
0.218446,-637.031
0.218826,392.242
0.218946,446.995
0.219399,-833.608
0.221155,-30.7342
0.222929,-1708.19
0.225758,-2016.85
0.232532,1.62589
0.235393,951.389
0.237645,1389.84
0.239341,-1331.12
0.240362,506.063
0.242843,2133.83
0.245421,815.864
0.245583,-878.425
0.248437,-1204.86
0.24905,-3241.7
0.250311,-301.837
0.251959,-57.6959
0.252162,2268.88
0.253532,-123.923
0.255406,805.935
0.257137,714.831
0.259583,-960.995
0.260358,980
0.260765,368.747
0.262848,179.861
0.263166,842.768
0.265463,-221.146
0.26553,-3219.38
0.267312,-369.55
0.267317,1248.03
0.271318,-196.887
0.273579,-1180.4
0.274972,938.883
0.275835,-2061.14
0.27646,554.341
0.280679,1341
0.281177,-385.507
0.281755,-534.684
0.287592,-39.1621
0.288207,-1680.99
0.289909,2980.67
0.291625,-2022.28
0.292218,-1922.81
0.295314,-861.735
0.297718,-120.458
0.297907,-1859.37
0.298585,-843.517
0.300808,-2559.36
0.303341,-427.285
0.308889,229.58
0.30981,-1081.42
0.310286,-3131.27
0.3103,-792.883
0.310553,-1735.94
0.310816,-321.616
0.311425,-1767.11
0.314386,-62.7949
0.317839,-1638.57
0.320067,-2092.1
0.321,891.327
0.32391,1333.84
0.327045,485.173
