Pressure, Change in distance between ball and goal
0,967.246
0,836.035
0.00733751,40.4026
0.0130106,-1809.22
0.0155875,-1553.44
0.0335198,268.823
0.034327,-1460.97
0.0374732,-734.997
0.0386556,-720.88
0.0386828,-391.667
0.0396225,-465.91
0.0413657,-1459.18
0.0514609,-1257.85
0.0539759,7.29605
0.0540445,-4401.1
0.0560214,305.435
0.05756,313.945
0.0576873,-973.142
0.0617339,-1156.08
0.0639001,283.03
0.0644489,-77.8772
0.0663733,724.102
0.0683415,188.541
0.0713998,1207.15
0.0736281,-1331.67
0.0762053,343.058
0.0803608,1067.75
0.0836653,-1108.63
0.0862306,-2547.3
0.0871561,-1570.12
0.0887047,-945
0.0906065,-591.944
0.0914473,13.6775
0.0972255,-2767.69
0.0992712,215.837
0.09983,-316.463
0.100054,331.249
0.10075,803.936
0.101162,-275.158
0.103046,448.454
0.104045,-161.784
0.106147,-1944.19
0.106738,-688.286
0.107572,-709.49
0.108261,664.851
0.109496,-668.793
0.110444,-1269.92
0.112354,611.501
0.112462,1488.26
0.113372,-466.034
0.114087,2554.55
0.115079,-169.426
0.11718,127.815
0.118832,-477.517
0.119555,152.925
0.122346,477.826
0.123066,1193.18
0.124099,-173.783
0.126242,-1399.64
0.127498,687.603
0.128575,-628.478
0.128603,-1164.24
0.128772,-269.84
0.129435,762.08
0.130267,-1796.84
0.132735,-327.826
0.135504,1962.04
0.135955,955.938
0.138862,635.596
0.140664,-324.384
0.141539,763.83
0.142107,-1161.19
0.143737,-2197.8
0.146465,380.953
0.147744,-42.1488
0.1482,-1799.05
0.152697,-106.484
0.152744,911.089
0.153726,-2945.88
0.153851,-1307.83
0.15422,-422.806
0.155521,-682.824
0.155965,829.566
0.156691,1726.84
0.157483,-1003.32
0.158387,-738.654
0.161416,-321.567
0.163237,2499.76
0.163379,-773.872
0.164647,1533.35
0.164754,1657.48
0.165134,-500.031
0.167441,1119.86
0.167856,2176.96
0.168585,-1418.77
0.169077,270.801
0.172549,145.04
0.175038,-360.583
0.179163,-968.556
0.179583,-1035.94
0.184903,-221.811
0.185331,-249.832
0.186426,386.819
0.186815,-666.882
0.188041,-1712.57
0.189088,495.055
0.189167,-778.65
0.19054,-1043.04
0.192504,-120.148
0.1948,1450.88
0.196292,-787.383
0.196775,-2863.67
0.198218,-267.97
0.198519,-148.864
0.198895,501.768
0.199586,-62.5256
0.201391,-515.241
0.201822,524.281
0.202568,-478.161
0.202831,289.453
0.202893,1080.07
0.204191,2922.82
0.204515,-716.181
0.205821,-330.02
0.205957,462.086
0.207126,46.3624
0.207811,-1597.9
0.207905,1817
0.2098,433.446
0.20997,-393.112
0.211113,2836.49
0.211236,178.599
0.212706,-180.541
0.213452,-905.548
0.213609,-1705.68
0.213995,1863.64
0.214561,-396.703
0.215687,228.856
0.217775,505.357
0.218262,51.9268
0.219022,-1269.17
0.219094,-1031.85
0.222806,-1006.73
0.228048,940.982
0.228121,-413.168
0.228354,-3153.36
0.228578,-3870.21
0.229259,496.488
0.22972,-3036.26
0.232492,-1438.89
0.233745,-742.783
0.236217,-316.015
0.236777,-1103.53
0.238019,-1622.88
0.238596,-53.6403
0.243891,772.989
0.244738,2319.08
0.246335,506.658
0.246542,376.573
0.247708,-96.6672
0.24848,-959.584
0.249095,1417.72
0.250919,-1861.94
0.251073,26.6117
0.251393,-245.432
0.252044,-239.487
0.253567,-1616.16
0.254347,-832.947
0.255344,415.013
0.258969,-497.548
0.259259,-179.144
0.259587,-2007.66
0.259727,-192.802
0.261078,1582.89
0.261487,401.491
0.261508,2193.21
0.262823,563.318
0.262917,137.5
0.26304,860.519
0.263425,2456.41
0.263733,849.483
0.264576,1893.22
0.264931,491.46
0.265195,1136.26
0.266505,-156.529
0.26923,-1122.34
0.270525,117.708
0.273016,-432.446
0.273291,-273.694
0.274266,3897.18
0.27445,482.55
0.277091,-946.191
0.278386,-314.324
0.278988,-1302.89
0.279569,-495.339
0.280583,-3009.83
0.28176,1242.13
0.282007,-286.807
0.282892,2442.76
0.284018,233.075
0.285413,-865.503
0.287687,-593.918
0.288167,-1401.52
0.288631,-245.805
0.288837,307.741
0.289264,1110.52
0.290386,-6.31009
0.290914,1049.46
0.291044,-2984.15
0.291273,-1079.53
0.291947,-599.348
0.293479,-1242.08
0.294462,-2467.54
0.296528,-36.5759
0.297109,-1665.87
0.299171,2115.47
0.301187,-605.449
0.304508,-1303.81
0.304702,-1794.17
0.305204,-1226.16
0.305756,-602.329
0.306487,-1577.39
0.306698,44.2156
0.307316,891.464
0.309958,-101.584
0.310062,-2658.16
0.310902,1443.33
0.311675,-219.334
0.312666,-823.656
0.31436,-3165.15
0.314515,129.026
0.314787,381.307
0.316663,900.326
0.317404,-1093.16
0.317888,-843.809
0.318372,-448.776
0.31845,925.041
0.318659,-922.33
0.320085,-702.375
0.320192,717.433
0.322085,331.084
0.322617,-270.838
0.322897,-963.585
0.324999,-1163.14
0.325417,-591.508
0.325781,218.287
0.325896,368.684
0.325947,1144.55
0.32654,1036.43
0.32671,-468.037
0.326889,3207.08
0.328303,-515.526
0.330138,-1109.84
0.332924,-1143.88
0.334066,2923.41
0.33458,-2305.6
0.334606,-1293.92
0.337214,-237.457
0.337479,-111.062
0.338519,-123.316
0.338751,1441.31
0.341338,1627.98
0.342064,-661.559
0.342666,332.463
0.34275,-2023.52
0.342979,364.222
0.343067,728.01
0.344142,-1023.53
0.344545,-94.9946
0.345537,675.834
0.346398,-1841.84
0.347168,-752.101
0.347531,-1254.51
0.348327,527.012
0.348408,523.517
0.348607,1415.44
0.349512,-5053.7
0.353446,-1151.83
0.353641,-5.77045
0.353749,-927.079
0.354865,-837.429
0.355062,-2318.38
0.35879,1559.89
0.359109,-2755.25
0.359463,-1329.68
0.360479,-379.825
0.362634,814.696
0.363001,-973.276
0.363641,-998.06
0.363806,297.422
0.36411,732.373
0.36444,-226.563
0.364457,-919.465
0.365047,272.968
0.365796,-138.565
0.368091,860.418
0.368572,2707.93
0.369112,-572.05
0.370634,-644.329
0.371746,-1707.6
0.37396,-1484.12
0.375011,-120.816
0.375038,1657.99
0.375058,-887.258
0.376346,536.22
0.377961,410.998
0.381872,-1435.16
0.382804,1732.86
0.383014,438.27
0.383425,-2168.94
0.384462,-951.821
0.384933,215.053
0.387945,-439.957
0.388083,-406.362
0.388921,-68.5153
0.389491,-597.542
0.389674,-1056.47
0.390002,-1114.56
0.390815,393.1
0.390942,924.687
0.391584,257.149
0.391874,-684.252
0.392255,-1587.34
0.393458,-1114.67
0.394777,1278.65
0.395211,-1363.27
0.396034,-1570.72
0.396362,-200.661
0.396644,1368.95
0.39704,315.344
0.397054,-1123.72
0.397411,-765.098
0.397466,-297.677
0.397546,-814.315
0.398083,-2100.3
0.400129,294.565
0.400625,-402.566
0.400997,-2411.32
0.401063,-1102.71
0.40147,-939.913
0.401662,93.6966
0.404607,84.98
0.405563,290.109
0.406364,-47.0188
0.40678,-2168.85
0.407078,-1523.98
0.407122,264.574
0.407271,-1087.32
0.408518,2757.1
0.409753,-1010.9
0.409829,-820.527
0.412925,-2671.73
0.41458,768.419
0.415049,-589.298
0.41532,876.088
0.41662,1020.7
0.416785,-197.565
0.417055,488.453
0.41706,-110.59
0.418881,2117.51
0.421656,939.223
0.423133,155.243
0.424422,-3497.15
0.425403,-837.354
0.428207,-606.04
0.428734,-785.542
0.42936,-679.494
0.429641,-712.364
0.42984,1157.82
0.42998,-955.891
0.432302,-257.67
0.432479,-852.331
0.433272,-99.6366
0.434493,326.455
0.439927,-1752.12
0.440355,-1792.06
0.441153,1746.15
0.441436,-514.041
0.44176,-258.133
0.444158,2177.98
0.444568,-2288.7
0.444904,-1373.7
0.445036,1278.33
0.446244,-1227.68
0.446357,-164.222
0.446571,-550.963
0.448311,-623.869
0.449261,-263.739
0.450278,-83.6222
0.450456,-1607.97
0.450593,651.934
0.451871,-986.8
0.452642,405.126
0.455347,-667.255
0.456075,3049.38
0.456815,-386.472
0.458147,-225.1
0.460585,-578.433
0.46207,-64.1743
0.463448,-95.7084
0.466398,154.4
0.466843,-872.681
0.46797,1993.22
0.469563,84.3936
0.46966,-378.195
0.472152,-1682.99
0.473445,-102.053
0.474476,-3261.27
0.475513,29.9499
0.476505,-1561.52
0.478765,-457.1
0.479146,-530.838
0.482113,160.126
0.482794,-427.471
0.483071,-1233.49
0.487938,19.6248
0.488613,-2158.29
0.488935,67.3983
0.489127,-3301.64
0.491533,384.901
0.491964,305.156
0.492307,413.695
0.49278,-268.963
0.493598,-217.193
0.493754,-578.756
0.493861,987.516
0.494082,-1499.75
0.49478,-1224.12
0.49581,58.763
0.496748,-1476.21
0.49749,-604.758
0.498205,-773.487
0.498325,-688.67
0.498465,-98.3283
0.499151,-770.291
0.499471,557.023
0.501319,-461.261
0.50156,1692.45
0.50181,-2118.29
0.503222,-631.803
0.505124,792.952
0.505307,-1039.33
0.50925,435.28
0.511108,-420.724
0.514238,600.866
0.51429,-1455.51
0.514991,13.1961
0.51582,-1186.96
0.515834,1456.81
0.517049,-892.062
0.51816,-1815.11
0.518359,293.065
0.519871,-198.946
0.520591,1335.56
0.520849,-254.948
0.521106,242.699
0.523685,479.588
0.525251,761.068
0.526032,976.17
0.526095,234.762
0.527186,931.167
0.528589,-2262.08
0.529501,1151.31
0.531327,919.846
0.532533,-854.492
0.532959,161.431
0.533395,322.979
0.535351,-606.472
0.53607,667.824
0.536925,-424.508
0.537357,-1370.12
0.53808,-1169.16
0.538159,-1261.6
0.539441,1223.71
0.539793,-3326.93
0.539848,-327.486
0.540734,-1942.61
0.541814,-582.684
