Pressure, Change in distance between ball and goal
0,2504.1
0.00633479,2173.93
0.0170281,391.376
0.0182345,824.163
0.0193087,-1066.71
0.0216829,344.843
0.0283916,-736.776
0.0294237,-371.742
0.0339977,-1557.45
0.0375135,224.568
0.0380449,-166.486
0.0437665,-139.306
0.0510556,25.4116
0.0628428,-59.8881
0.0654098,538.768
0.0654288,169.604
0.0776068,-1259.43
0.0804284,956.108
0.0840447,-834.371
0.0849061,-343.065
0.0977399,979.215
0.0984709,84.4765
0.0986657,-1431.11
0.0988869,-1389.5
0.12022,447.898
0.124568,-321.258
0.124572,-168.402
0.131959,-1867.4
0.132753,-1228.81
0.134799,-2620.69
0.141229,2719.55
0.141514,-800.014
0.14563,-500.709
0.155049,-1037.59
0.159517,-1099.75
0.163478,4.3522
0.164703,553.977
0.168006,-2622.28
0.168024,152.133
0.173309,1931.92
0.174118,807.436
0.182403,326.129
0.18308,-683.947
0.185644,-166.07
0.18687,-3039.41
0.186931,-1065
0.188844,-1192.76
0.189858,696.494
0.19055,-336.671
0.190719,-285.354
0.192337,-370.005
0.194547,-729.443
0.195627,2171.46
0.196262,-1767.27
0.197345,2178.84
0.204076,-278.926
0.204888,-1091.33
0.205423,-1404.55
0.208411,805.693
0.208508,-4107.38
0.211278,-1044.2
0.215403,-1926.48
0.215731,-2661.62
0.218803,-352.099
0.219472,-693.534
0.220737,-1955.54
0.221451,2034.08
0.221939,1418.85
0.222945,975.907
0.223498,-264.235
0.22482,650.494
0.2268,269.824
0.229163,-4788.19
0.229607,2915.77
0.229867,-811.282
0.23102,-800.561
0.23283,1177.82
0.233968,57.9101
0.234578,490.05
0.239456,1974.18
0.240507,1995.53
0.241332,106.686
0.244277,516.623
0.246752,-875.393
0.248406,1873.93
0.248476,1357.05
0.249248,-1424.14
0.25027,-131.068
0.251643,213.445
0.252196,-536.495
0.252754,3386.78
0.254184,854.55
0.254205,-962.474
0.254391,-205.621
0.256435,-2588.82
0.25799,495.98
0.260091,-1356.03
0.263203,1733.08
0.263267,-208.344
0.263317,-777.471
0.264505,-96.0333
0.266984,-2789.83
0.268111,1550.04
0.269164,-1227.74
0.270148,-368.595
0.27059,-2048.52
0.272019,-1914.19
0.272203,-65.3627
0.272608,-1303.89
0.272981,-1770.1
0.27342,140.137
0.274974,32.5577
0.275279,-1256.75
0.278532,424.908
0.278708,723.986
0.279742,192.86
0.279884,-1314.07
0.280547,-1307.46
0.280653,-1165.68
0.285151,-1693.51
0.287081,-3993.15
0.289661,-1543.47
0.290031,-228.887
0.290737,1158.09
0.290797,-435.81
0.291963,2126.15
0.292184,-1046.17
0.292504,322.187
0.292913,416.359
0.29343,1759.66
0.293634,1439.2
0.294306,-2391.12
0.29757,1034.06
0.298025,1216.78
0.300542,-383.985
0.30098,-172.905
0.301599,-1335.28
0.302202,2741
0.30252,-1199.49
0.302752,-492.884
0.302937,-889.828
0.305174,1968.3
0.307413,-10.5596
0.30901,1310.91
0.311173,-932.682
0.311227,-1892.01
0.314299,928.476
0.320656,-507.012
0.320858,-1179.01
0.322247,-136.459
0.322813,-1093.29
0.323031,-236.395
0.324576,-211.844
0.324908,800.538
0.327866,-715.57
0.329755,-1204.41
0.330486,-282.503
0.330847,723.434
0.33289,-97.6465
0.338659,-152.833
0.340042,116.28
0.340676,254.364
0.341077,158.463
0.342541,54.0332
0.342607,243.174
0.344435,2868.21
0.345895,1509.43
0.346428,-313.758
0.348189,859.053
0.350594,-1181.03
0.351747,-1275.2
0.355885,-1936.2
0.356226,-2202.01
0.356494,-1506.17
0.356597,-593.317
0.358072,-765.446
0.358736,-48.6067
0.360529,-202.694
0.362285,620.869
0.363588,1271.85
0.364058,-1015.12
0.364212,-664.869
0.365362,1728.66
0.366978,-1251.43
0.367169,1123.71
0.369754,-594.323
0.372682,-2582.26
0.374854,-1459.85
0.375229,531.491
0.381426,-800.531
0.384259,-1100.83
0.385285,-1103.33
0.385338,-2051.08
0.386334,-721.188
0.386546,-1599.99
0.387713,-989.275
0.388011,-601.246
0.390215,367.972
0.390967,189.518
0.391504,-3177.85
0.391651,-1682.64
0.393061,291.779
0.394644,-2159.61
0.397748,-1180.39
0.399097,-1644.37
0.400675,-1593.4
0.401221,-77.8212
0.402848,815.604
0.40307,-128.35
0.403446,-1006.82
0.40424,-1904.42
0.409077,2758.73
0.409766,-844.448
0.41061,-2387.63
0.411016,-1953.17
0.413636,744.642
0.415635,-214.022
0.416729,1514.74
0.420267,-463.161
0.420325,995.431
0.42219,-1596.03
0.422959,-1472.39
0.42584,-382.331
0.42597,-72.6937
0.426072,-129.611
0.429644,-5230.83
0.432044,1226.62
0.432302,-1580.11
0.435528,-175.821
0.436155,345.9
0.436792,-2164.88
0.436988,1279.56
0.438824,-937.24
0.438903,941.383
0.4399,-1034.45
0.441176,1108.37
0.44227,-1029.3
0.446911,-710.973
0.448889,634.669
0.449231,3683.21
0.450314,-2570.19
0.455897,1349.69
0.460566,172.45
0.46094,391.867
0.461282,-858.395
0.46129,-3665.47
0.462389,-2007.22
0.463844,-3257.46
0.465152,1526.62
0.465394,-2873.64
0.467312,667.143
0.46781,2436.12
0.468621,1064.49
0.468974,1018.2
0.470898,-347.712
0.47135,-423.771
0.475094,-3157.45
0.475229,-673.841
0.476506,-658.781
0.480197,77.5373
0.481532,-1015.5
0.482129,990.702
0.48377,-533.805
0.485294,-527.216
0.485422,-420.63
0.485885,-1306.65
0.486229,629.294
0.487889,-687.28
0.492725,-607.792
0.494063,447.313
0.494979,-423.837
0.499829,656.668
0.500655,2911.8
0.505827,1311.52
0.506086,-3085.63
0.506327,-497.55
0.508109,-48.5876
0.509078,-1347.37
0.510269,-553.801
0.515181,640.083
0.516349,-384.851
0.516829,953.789
0.518641,624.598
0.520791,-424.764
0.523188,-2356.18
0.524254,2058.38
0.526431,-275.31
0.531,381.843
0.531073,-2764.98
0.531658,0.489882
0.531867,1481.19
0.532375,637.284
0.533912,733.695
0.53592,-625.904
0.536049,399.87
0.536537,939.196
0.537465,726.432
0.539584,-2445.87
0.540685,1426.45
0.541064,-266.294
0.541722,-662.431
0.543481,620.438
0.545983,-613.138
0.547516,-1512.44
0.548222,-1185.48
0.548807,-1375.25
0.549146,1001.85
0.552553,2398.03
0.552802,-998.914
0.553376,-1738.47
0.553991,-104.319
0.554539,-946.629
0.556043,-43.7021
0.556098,-3825.29
0.557705,-1014.35
0.558168,-589.465
0.559565,-837.269
0.564951,-785.291
0.566102,-532.266
0.56728,-378.724
0.570752,-638.427
0.571125,1501.84
0.574637,-1021.13
0.574846,-1264.99
0.575454,-1988.42
0.576452,-626.641
0.578034,-4326.54
0.582715,-1594.38
0.582728,821.049
0.583918,-309.817
0.584269,80.5796
0.586523,-153.331
0.587117,1144.09
0.588081,122.975
0.589248,-1201.61
0.59091,129.671
0.591489,-597.824
0.593283,718.668
0.598099,2208.18
0.598323,-140.282
0.599439,1708.83
0.599978,-1750.03
0.600335,312.222
0.602342,-670.47
0.60433,-2399.62
0.60703,-1461.74
0.609044,-927.433
0.609584,-744.41
0.610276,-1283.73
0.610308,2277.58
0.611754,-787.342
0.612895,1238.46
0.616733,-2170.09
0.617127,-624.964
0.618861,-1149.13
0.619207,-35.5499
0.620103,469.567
0.620534,-1419.3
0.62768,1635
0.629201,-677.834
0.631386,-40.1368
0.631746,1269.93
0.632492,-1265.03
0.633281,45.1973
0.642215,935.867
0.642411,-345.079
0.642685,-1023.07
0.647986,430.205
0.64877,-1460.25
0.653606,-918.856
0.655426,-2754.49
0.656036,-1582.15
0.657102,-257.519
0.657497,-5042.08
0.673359,-670.054
0.674167,-679.868
0.674208,-52.1815
0.676918,259.469
0.677622,1671.53
0.679411,-1119.57
0.680996,201.379
0.681215,-1998.2
0.686044,605.067
0.687203,-1288.07
0.688034,-2306.27
0.69244,-1160.58
0.692779,-2403.87
0.692996,-183.496
0.693865,-1303.06
0.694563,-93.7521
0.696326,-926.36
0.69662,1620.49
0.697631,1535.71
0.69959,-435.07
0.699888,811.068
0.703473,1076.55
0.705478,656.468
0.707323,1286.48
0.708994,-5116.7
0.710772,-1738.86
0.712626,-469.13
0.716859,170.326
0.718315,1161.7
0.719803,-1660.58
0.720375,1649.9
0.720431,-969.198
0.72232,-698.553
0.723711,1612.88
0.72822,-1092.28
0.728696,75.1946
0.731144,-462.856
0.731264,350.556
0.731269,-1247.09
0.731661,-2165.21
0.732299,443.55
0.734073,-1099.09
0.734653,-380.592
0.736485,-1053.48
0.736835,547.198
0.737232,360.063
0.737582,729.542
0.738078,-1076.21
0.738677,-1818.26
0.740654,1313.88
0.740697,376.92
0.744278,1965.34
0.747005,-1353.58
0.747622,-179.412
0.747667,26.7255
0.750505,-898.592
0.750635,-954.703
0.751732,-2123.97
0.752365,647.314
0.752517,351.977
0.753638,441.452
0.756239,1812.5
0.75756,-351.062
0.757621,-681.809
0.758108,-718.592
0.758364,554.603
0.760145,-219.716
0.762931,2625.66
0.763954,-882.758
0.764518,-1876.9
0.765114,-2156.72
0.766675,-1242.94
0.768721,-881.187
0.768815,839.575
0.769069,-1418.99
0.769362,-1651.49
0.77061,-727.373
0.770951,120.382
0.771105,40.4501
0.772059,-1573.58
0.779202,568.129
0.780183,1599.38
0.783499,-64.3808
0.787397,265.226
0.788723,1122.07
0.788932,-178.493
0.790288,-1056.82
0.791678,782.775
0.792845,1938.78
0.79386,-932.661
0.794502,58.7629
0.79554,531.381
0.796003,-1250.38
0.796555,-2386.26
0.800132,-2713.01
0.800724,-1881.29
0.802203,134.013
0.803098,-560.08
0.808367,-1702.09
0.80901,381.468
0.809782,1587.98
0.812638,1175.02
0.815291,-1705.6
0.815531,-28.3176
0.816316,1291.28
0.817484,-132.874
0.821733,-1060.25
0.822746,-392.01
0.823344,1993.52
0.824301,-508.273
0.826082,26.1104
0.826871,1859.22
0.831036,1369.9
0.831736,-353.468
0.831779,530.255
0.833009,-2014.09
0.835729,2311.37
0.836106,-22.3415
0.837386,-921.953
0.841477,-1426.94
0.842778,158.435
0.845175,-1374.61
0.846197,317.215
0.846463,1454.29
0.847135,-486.961
0.851418,-488.335
