Pressure, Change in distance between ball and goal
0,1890.79
0,-2149.27
0,-105.086
0,-11.8865
0,829.807
0,-708.016
0.00150501,688.487
0.00335269,-792.988
0.0133464,1174.36
0.0152568,-720.952
0.0187951,425.797
0.0188477,-523.183
0.0219622,-987.079
0.0233996,-703.981
0.0240714,-699.761
0.0246482,-585.934
0.0267846,-2681.5
0.0344456,-1529.2
0.0358762,-534.504
0.0380027,-1255.76
0.0400739,-617.741
0.0409097,384.178
0.0430205,452.745
0.0431968,-2009.13
0.0532255,-2992
0.0544013,1141.29
0.0545271,-1846.64
0.0567495,2013.49
0.0584391,-40.3767
0.0614522,-1471.14
0.0625816,-2338.89
0.0687531,-1174.92
0.0699677,-131.873
0.0708919,495.959
0.0713089,598.837
0.0728683,-806.13
0.073075,-492.112
0.0748302,-440.159
0.0769271,-579.523
0.0770976,316.259
0.0786826,-85.7142
0.08003,-1812.91
0.0811374,-2097.32
0.0832042,-888.846
0.0843033,-844.82
0.0866032,-2698.82
0.0868024,2049.87
0.0893176,373.899
0.0908651,134.976
0.0912703,-286.677
0.0916051,-508.974
0.0959146,-1369.55
0.0984899,913.439
0.0989268,-1157.09
0.0994329,236.522
0.102138,-1293.52
0.103857,-1539.57
0.10734,393.844
0.10738,-712.627
0.109723,-240.096
0.111148,-107.725
0.112109,-142.935
0.113384,310.115
0.11425,482.452
0.115118,2999.84
0.116502,-957.323
0.118028,372.816
0.119532,-1058.18
0.121133,-777.361
0.122157,-93.9383
0.12317,3630.4
0.126162,98.7931
0.127722,-853.882
0.128117,113.214
0.129004,-60.5861
0.132523,-1930.45
0.132731,-457.002
0.132961,-1385.82
0.133404,-551.748
0.133506,2808.25
0.134594,152.847
0.135247,272.922
0.136308,1995.32
0.136704,541.016
0.138959,-1667.01
0.139639,434.023
0.144412,-1042.44
0.145969,-2092.38
0.147872,-1679.53
0.148365,-2314.77
0.148889,-1578.69
0.149044,-1348.91
0.149855,-508.739
0.151772,171.944
0.152101,-491.429
0.155261,-1831.07
0.156651,-82.4185
0.158829,184.845
0.159891,-704.856
0.160217,-801.365
0.160373,322.523
0.162387,460.795
0.162749,716.489
0.163208,-3424.85
