Pressure, Change in distance between ball and goal
0,-165.835
0,-651.829
0,-688.922
0.00266636,1370.02
0.00713213,-38.3369
0.0232911,-391.055
0.0248507,357.308
0.0279745,-1328.38
0.0290294,-294.862
0.030628,-911.254
0.0353743,-340.179
0.0460902,-84.2296
0.0472394,-642.236
0.0517761,-2376.02
0.053503,958.503
0.0553025,-1275.09
0.060898,-88.8323
0.0616854,-3788.25
0.0726258,-1583.21
0.073264,-637.862
0.0739818,-2266.85
0.0746282,1416.2
0.076667,-3941.21
0.0789745,78.9238
0.0799266,-425.273
0.0825987,-914.674
0.0845829,150.637
0.0845934,-117.233
0.0885282,-2057.72
0.0886623,-1103.36
0.0910062,-2432.57
0.0935044,709.958
0.0950912,-877.041
0.0967828,-456.982
0.09938,1084.61
0.099876,-1323.23
0.100899,-738.953
0.103291,-1065.04
0.103543,-197.949
0.104358,-2021.29
0.109988,-543.773
0.110098,-1224.95
0.113871,253.288
0.117111,-892.758
0.117247,175.196
0.118102,-517.565
0.123909,117.677
0.123925,502.418
0.12843,-535.487
0.129252,-1828.85
0.130142,175.054
0.131463,-552.894
0.132419,-953.781
0.132476,399.937
0.135384,133.249
0.13549,1808.54
0.137679,619.533
0.137719,742.985
0.140717,-1271.7
0.145457,-1162.21
0.146898,-1748.99
0.149463,-1020.84
0.15055,-1105.79
0.15234,1886.51
0.152464,-1025.49
0.153629,-1217.25
0.154405,212.895
0.156304,946.694
0.157455,1065.08
0.158656,-29.8155
0.158902,-1886.7
0.159901,-938.952
0.161129,-12.4268
0.163165,-340.866
0.163539,-1634.79
0.167343,1067.85
0.168464,441.382
0.170672,-722.738
0.170999,-1876
0.172691,-1347.95
0.174386,-1180.73
0.176751,1403.61
0.177624,-445.261
0.181153,943.621
0.186051,-633.835
0.189754,1356.93
0.190786,-587.381
0.191368,429.88
0.194045,-361.873
0.194578,-1002.39
0.195374,-1665.74
0.197331,-1134.81
0.200412,-1019.38
0.201025,-1080.03
0.202945,1152.14
0.203781,-1705.94
0.206991,346.234
0.207641,-1420.14
0.208026,-95.9192
0.208124,-792.636
0.20885,-985.624
0.209386,966.606
0.209754,411.162
