Pressure, Change in distance between ball and goal
0,-992.24
0,-572.417
0,-1039.82
0.00633479,2173.93
0.0103189,-943.32
0.0137093,-1907.27
0.0170281,391.376
0.0181202,193.077
0.0193087,-1066.71
0.02118,108.891
0.0252247,-306.886
0.0256943,-1259.42
0.0277781,1471.19
0.0295259,-2310.6
0.0375135,224.568
0.0380449,-166.486
0.0386836,1143.48
0.0393469,-604.638
0.0405087,1265.34
0.0490838,1660.42
0.0576063,-172.766
0.0625092,-1289.5
0.0689258,-280.292
0.0711276,1319.46
0.0743088,-1679.21
0.0775149,578.547
0.0776068,-1259.43
0.0812253,1066.44
0.0825134,-524.822
0.0859162,108.204
0.0913769,-363.073
0.0960048,-218.876
0.0967617,-861.619
0.0973486,-1557.74
0.0976367,2388.74
0.0977399,979.215
0.0978302,752.091
0.0984709,84.4765
0.100186,-36.5612
0.105594,-3370.98
0.105621,-509.692
0.10823,-2376.7
0.111013,113.247
0.113953,-1783.35
0.114225,-165.916
0.118202,-892.913
0.120652,-2610.92
0.121779,-1330.11
0.122603,-373.827
0.12339,1694.08
0.124568,-321.258
0.124572,-168.402
0.128054,2610.4
0.128594,-1135.07
0.129352,1144.18
0.129855,-338.263
0.131959,-1867.4
0.132753,-1228.81
0.133948,1615.65
0.134799,-2620.69
0.136413,-1694.57
0.141229,2719.55
0.143189,-262.653
0.145188,-2198.62
0.14545,-1141.61
0.14563,-500.709
0.148779,2347.1
0.149472,-1971.21
0.15168,-384.235
0.15174,-454.828
0.152197,-166.474
0.153157,165.497
0.156756,130.034
0.158321,624.888
0.158436,2244.21
0.158682,1850.58
0.160733,-643.071
0.163434,184.357
0.164461,-2244.31
0.165657,-1382.49
0.165926,-617.301
0.168006,-2622.28
0.170208,108.064
0.174249,171.486
0.178212,-1099.85
0.18078,-2712.58
0.182403,326.129
0.183722,664.494
0.184257,-224.761
0.19055,-336.671
0.190719,-285.354
0.192405,-1818.38
0.194449,2397.09
0.194466,-3021.15
0.194547,-729.443
0.195311,-3147.74
0.195906,1080.01
0.196262,-1767.27
0.197359,691.152
0.199715,424.24
0.201816,232.516
0.202141,-1029.72
0.203267,-867.158
0.204076,-278.926
0.204333,-1826.22
0.20527,-4528.62
0.205979,1675.15
0.208508,-4107.38
0.210841,583.617
0.212922,1160.64
0.215731,-2661.62
0.217566,487.281
0.21827,-1150.08
0.22292,1925.4
0.224359,-3226.1
0.224589,1170.87
0.226631,123.647
0.228479,516.518
0.229607,2915.77
0.229867,-811.282
0.230832,-964.85
0.230974,853.221
0.23147,-524.007
0.233968,57.9101
0.23538,894.336
0.236835,-527.283
0.236889,-804.956
0.238591,-1804.69
0.23923,-2815.95
0.240507,1995.53
0.241341,-661.421
0.242738,1865.34
0.244451,40.772
0.245292,-1533.95
0.246752,-875.393
0.247115,-1152.42
0.248406,1873.93
0.248414,408.262
0.248584,-1870.75
0.249248,-1424.14
0.250028,-18.5079
0.25027,-131.068
0.251643,213.445
0.251667,-704.569
0.25238,-1534.14
0.252683,-16.8901
0.252726,-1160.98
0.252754,3386.78
0.252983,-1423.23
0.253022,957.282
0.253533,1828.27
0.253708,-452.857
0.254205,-962.474
0.254338,-661.202
0.254462,94.6743
0.257959,-1579.9
0.25799,495.98
0.258298,58.8803
0.260091,-1356.03
0.260147,-2429.87
0.260757,-1088.98
0.261248,-331.881
0.262626,-376.619
0.2627,1598.52
0.263317,-777.471
0.264679,195.497
0.268111,1550.04
0.270133,1810.26
0.27059,-2048.52
0.27094,-151.124
0.271021,2072.99
0.271391,2409.5
0.27235,-1900.96
0.272608,-1303.89
0.272624,-413.894
0.273451,-2527.22
0.274009,-798.011
0.274179,664.39
0.274974,32.5577
0.275216,-362.665
0.276672,1938.39
0.276853,-1886.53
0.278231,-3258.59
0.278434,-1540.3
0.279884,-1314.07
0.280547,-1307.46
0.28387,468.92
0.285151,-1693.51
0.286243,2044.16
0.288816,1662.97
0.288913,-1300.95
0.289661,-1543.47
0.289838,-1607.59
0.290031,-228.887
0.290797,-435.81
0.292456,980.651
0.293292,1122.57
0.296102,-11.1495
0.296219,2093.15
0.298025,1216.78
0.298233,-1878.21
0.299407,-3399.36
0.30024,302.012
0.300542,-383.985
0.300718,-1694.91
0.301069,-1540.2
0.301695,-2919.25
