Pressure, Change in distance between ball and goal
0,-682.006
0,171.157
0,98.1323
0.000255519,1243.98
0.0123409,679.655
0.0190293,2164.55
0.0233996,-703.981
0.0237214,-420.927
0.0241165,373.936
0.0242067,-334.191
0.0276642,-107.695
0.0330365,-1722.89
0.0337026,1038.61
0.0358762,-534.504
0.0401292,-920.187
0.0490205,-541.266
0.0524519,1075.36
0.0537809,736.913
0.0538222,194.123
0.0545271,-1846.64
0.0601477,799.06
0.0614522,-1471.14
0.0622229,2195.78
0.0633062,-607.595
0.0643977,2291.25
0.068862,771.344
0.0711037,-1672.28
0.0713089,598.837
0.0763723,-2285.32
0.0793417,2154.96
0.0811374,-2097.32
0.0823921,2093.79
0.0843827,-1766.37
0.0872893,-2044.54
0.0908651,134.976
0.0956736,-1308.85
0.103436,-2764.89
0.105742,1566.69
0.112337,-1950.28
0.112381,1281.93
0.113547,-561.708
0.118519,1287.94
0.122043,61.3856
0.127209,-138.062
0.12794,-1100.33
0.144182,-125.342
0.147955,-653.608
0.148889,-1578.69
0.154023,-267.215
0.158121,-2141.29
0.160258,1989.83
0.160568,-1633.34
0.163078,-1771.83
0.166031,-703.627
0.166163,-1523.32
0.167096,538.074
0.168676,2184.79
0.175179,25.4075
0.176956,1599.04
0.181599,453.735
0.182196,2085.21
0.192481,55.996
0.197885,-135.514
0.200346,-589.441
0.210488,-258.801
0.211879,1360.44
0.216854,-3272.89
0.223098,-24.6206
0.226457,-887.014
0.228147,389.944
0.228823,-935.982
0.23141,-872.001
0.231594,-6.98091
0.232074,1371.34
0.232934,-526.989
0.233113,-800.049
0.240363,-809.61
0.241246,-574.402
0.242503,-1000.84
0.243831,202.693
0.246985,-293.779
0.248061,622.208
0.254349,-281.676
0.255178,-844.405
0.255376,1131.37
0.255416,-2129.56
0.257052,1029.8
0.258702,522.932
0.258749,-660.632
0.260692,-429.133
0.261101,2441.44
0.265513,-1675.79
0.269582,-165.709
0.271875,185.662
0.27717,-936.015
0.277849,2385.04
0.280513,-947.475
0.283809,-1096.74
0.284195,-1308.51
0.285671,-376.843
0.286624,2153.32
0.289526,-654.554
0.294244,-954.383
0.302701,750.698
0.302969,1782.6
0.304153,-2172.89
0.305401,1130.04
0.30541,858.338
0.306069,-1118.61
0.310598,-587.761
0.318109,-313.247
0.318813,2059.31
0.321501,-875.625
0.323184,-2636.47
0.326583,-361.076
0.327851,-507.293
0.329299,-1364.04
0.329339,-1288.84
0.330661,1456.48
0.334123,732.417
0.334805,-611.234
0.336818,449.439
0.337378,1117.38
0.337587,456.613
0.343114,-2141.67
0.344083,1140.41
0.351716,-1222.44
0.352933,-493.667
0.353865,-301.341
0.354056,-538.232
0.356193,-89.0732
0.360472,319.189
0.362837,-1735.64
0.364588,2892.19
0.366767,-1427.15
0.366943,-17.8003
0.368885,-523.999
0.369432,2016.79
0.373432,1028.96
0.376277,-752.953
0.376719,67.2041
0.378752,263.231
0.381478,-919.698
0.382734,-786.008
0.383528,-159.57
0.385853,2238.55
0.387306,-1169.25
0.390916,-197.853
0.391229,-437.377
0.392398,2207.75
0.39634,675.653
0.3965,-472.407
0.397274,-935.922
0.397649,34.761
0.400561,181.15
0.402032,-1181.27
0.4028,-1831.05
0.403754,192.065
0.405204,-798.286
0.406582,-919.685
0.409595,-1965.43
0.411572,-9.91806
0.412387,-1892.09
0.414171,-658.836
0.417468,-199.888
0.419878,-353.923
0.420624,-557.34
0.422208,-98.5839
0.427333,-1596.82
0.427784,-753.501
0.428124,389.983
0.432613,-684.787
0.433358,375.633
0.435412,-25.3923
0.437163,-2217.71
0.439569,-624.314
0.442186,-1368.81
0.444388,-651.683
0.445501,1531.68
0.450138,-339.762
0.451277,-974.375
0.452122,1098.8
0.452625,339.207
0.453078,2125.62
0.455954,-1508.63
0.457173,-30.7285
0.457176,-684.64
0.460651,145.801
0.461115,-1561.27
0.463729,-509.924
0.464725,-475.16
0.466316,-255.712
0.467904,-1812.85
0.469131,-1970.56
0.469566,-776.748
0.469802,281.068
0.476747,98.8366
0.477379,-648.839
0.479712,2214.45
0.486893,-762.643
0.492464,-1132.04
0.493503,-254.265
0.495417,-77.5965
0.49927,-407.064
0.503225,-840.588
0.503648,-539.519
0.506367,-1395.36
0.50703,-1123.2
0.50748,-354.21
0.509809,219.135
0.513428,-777.112
0.513483,1490.62
0.513994,770.124
0.518592,-3191.74
0.521789,321.965
0.522457,1414.68
0.523416,1585.36
0.526595,-154.055
0.530625,-674.945
0.533726,469.386
0.535895,1254.22
0.536019,496.945
0.538756,-1380.4
0.538804,-1258.15
0.545134,1154.2
0.545341,-1642.62
0.547671,125.192
0.547894,679.643
0.549523,500.84
0.550544,512.651
0.552076,-806.698
0.555034,563.481
0.559442,-1104.18
0.559838,235.6
0.57073,-630.427
0.572688,-1387.77
0.573248,-251.688
0.573674,-2104.74
0.575388,1051.96
0.577155,-408.761
0.577197,256.636
0.578224,2377.33
0.581147,-916.79
0.581756,-3137.87
0.582072,1566.94
0.582702,-1701.48
0.585399,1112.98
0.586249,-2376.7
0.588362,2286.29
0.59117,-1427.51
0.592044,590.428
0.595575,-179.841
0.598441,-2534.23
0.599432,545.446
0.599724,-2170.15
0.600103,-1770.34
0.601786,-2487.1
0.603275,947.83
0.604358,-48.919
0.608487,-682.088
0.615929,6.99747
0.617329,-431.893
0.618594,-1156.01
0.621949,-1600.81
0.625358,-431.206
0.625735,2037.01
0.629364,18.0327
0.629413,82.5593
0.63226,-1153.62
0.636974,-981.678
0.639963,-1336.5
0.644971,-285.564
0.648676,-5718.95
0.651184,550.499
0.651767,-1206.74
0.655129,273.316
0.657374,-2674.85
0.659311,-492.976
0.666133,52.7844
0.669719,-1106.42
0.673807,-648.756
0.676262,1717.95
0.678429,943.021
0.68006,797.533
0.687449,-1481.2
0.687971,2710.93
0.6882,-575.025
0.689066,-884.845
0.690248,262.428
0.69672,-928.827
0.70227,1978.59
0.705687,1177.29
0.707942,-294.571
0.712061,1446.96
0.715485,646.4
0.719973,61.7645
0.721399,-1836.74
0.721488,131.257
0.722097,-284.385
0.723428,-1626.78
0.726388,-1776.16
0.72792,-14.2351
0.729804,-614.592
0.730472,-2858.97
0.737847,-873.725
0.738298,-1541.8
0.742773,-1201.34
0.74432,-652.892
0.745505,-3452.2
0.745812,-913.489
0.746059,686.094
0.758831,200.065
0.759564,-2189.7
0.764073,-194.127
0.773851,1756.21
0.774254,727.392
0.776505,-193.432
0.780196,1777.1
0.78032,-941.895
0.78262,-335.607
0.783218,422.428
0.789229,-1760.1
0.792914,9.85915
0.793108,-901.92
0.801293,-845.064
0.803014,-860.093
0.803986,1100.69
0.804167,243.647
0.808174,792.628
0.808639,-1830.84
0.809166,1520.15
0.81535,-985.425
0.816865,448.633
0.81778,-371.104
0.818319,-507.378
0.819123,-1311.45
0.820368,336.202
0.820612,-529.895
0.822684,-1312.48
0.823289,-739.644
0.823907,-1902.74
0.8252,-1299.08
0.827402,173.592
0.828399,997.804
0.830059,165.704
0.830376,-1701.21
0.835935,314.221
0.837146,440.999
0.838139,180.529
0.844727,-1053.35
0.84636,-142.953
0.850585,2290.16
0.853447,297.009
0.856877,-2410.85
0.85982,-183.769
0.869849,-950.195
0.873144,207.814
0.875725,351.826
0.876114,-671.464
0.877063,-926.677
0.881101,430.364
0.891618,558.287
0.895288,-81.2341
0.895342,-935.86
0.898321,-28.7048
0.8987,-699.042
0.90004,173.789
0.902017,-449.755
0.905905,108.68
0.907682,400.272
0.90847,173.501
0.911658,-603.115
0.911688,-673.447
0.915121,-1200.57
0.919711,1886.34
0.923704,-69.1609
0.92707,-114.286
0.92987,655.148
0.930998,-2794.05
0.93455,-1097.56
0.935493,-99.7812
0.935561,-582.177
0.939745,355.058
0.940519,2777.3
0.948698,1117.06
0.955797,177.782
0.957197,-73.3474
0.957987,-971.308
0.959363,-1299.09
0.960903,291.328
0.964485,-1549.56
0.96909,164.141
0.96922,-908.759
0.971818,-547.132
0.979963,-1055.13
0.98271,-1191.11
0.98756,-1609.09
0.989898,-4294.35
0.995644,-262.675
0.996495,-1256.12
0.997223,-321.167
0.997679,512.846
1.00214,-728.062
1.00305,-1038.65
1.00792,99.5786
1.00826,2467.81
1.01065,-400.716
1.01141,-657.83
1.0192,347.435
1.02262,768.134
