Pressure, Change in distance between ball and goal
0,140.22
0.00417747,391.189
0.0242784,1206.24
0.0290294,-294.862
0.034419,475.696
0.0380911,966.505
0.0497077,916.159
0.0553025,-1275.09
0.0699091,-853.359
0.0858307,-2295.25
0.0885282,-2057.72
0.0957897,-257.628
0.0961126,-1488.03
0.0967828,-456.982
0.0986231,-153.502
0.104236,-1233.53
0.106068,41.2383
0.107845,351.319
0.113634,-1202.71
0.117111,-892.758
0.138299,-1089.29
0.138681,-133.422
0.148933,-1668.11
0.150138,2302.71
0.151423,-294.256
0.151812,2054.48
0.151876,1880.37
0.153629,-1217.25
0.163539,-1634.79
0.172038,-1757.5
0.172691,-1347.95
0.173553,534.18
0.182139,-17.4187
0.184173,-817.973
0.186598,-746.711
0.188979,-1635.92
0.191033,-2104.9
0.191435,-1486.43
0.195374,-1665.74
0.197331,-1134.81
0.208886,-28.6684
0.212526,-142.425
0.213095,-653.79
0.218554,3303.41
0.219399,-833.608
0.222136,1292.97
0.222929,-1708.19
0.228161,-1197.43
0.228449,906.984
0.236961,-2177.84
0.239341,-1331.12
0.240362,506.063
0.240932,-1591.04
0.243678,-625.276
0.246589,664.114
0.248353,-904.074
0.253917,-2880.58
0.254711,208.86
0.257665,-381.477
0.259583,-960.995
0.262276,-3303.31
0.279496,410.557
0.280053,-1758.35
0.287418,-2378.51
0.287929,29.7867
0.28873,1080.87
0.291625,-2022.28
0.294164,-1879.6
0.299504,337.927
0.302334,-2070.71
0.302432,67.4848
0.310553,-1735.94
0.318985,3.60646
0.320067,-2092.1
0.320305,-950.614
0.323787,-408.076
0.324171,-1231.46
0.328867,-599.799
0.330561,986.022
0.331416,2010.83
0.332867,901.063
0.336058,-1017.68
0.339469,1020.23
0.339723,177.302
0.3527,-1170.53
0.356327,-1236.57
0.357806,-1070.95
0.358646,618.165
0.360482,601.341
0.372008,-996.851
0.379499,-703.726
0.382986,-1779.02
0.387267,-1951.77
0.388166,-1398.09
0.388291,2167.18
0.393913,-943.327
0.395351,2268.86
0.39679,-887.825
0.396982,-3468.23
0.398647,8.16899
0.400181,-908.128
0.405165,-1497.53
0.408537,252.86
0.409249,-800.831
0.409324,170.551
0.411753,187.868
0.412227,-782.311
0.414111,189.355
0.414582,-1730.87
0.418364,-3328.74
0.42035,-969.109
0.421983,-2565.35
0.424691,-9.62415
0.424816,-1983.66
0.424914,-1543.67
0.427163,-2087.96
0.427582,-554.727
0.42835,1711.93
0.428867,-1022.68
0.430076,586.947
0.435348,815.715
0.436721,14.89
0.448515,774.202
0.449342,26.865
0.44991,131.741
0.450144,-1449.4
0.451489,-494.061
0.45786,-725.582
0.465377,-2767.2
0.466666,1783.16
0.470354,-1569.1
0.471374,-695.871
0.472229,-403.071
0.47703,-2502.76
0.477856,-964.439
0.481385,313.522
0.48226,-1336.23
0.48346,-564.249
0.484002,1119.17
0.486339,-2295.18
0.490698,-1368.04
0.495775,-112.725
0.495871,974.103
0.503687,-62.4537
0.504761,-509.027
0.504801,-1833.47
0.506034,-1233.41
0.511465,-254.323
0.511926,1018.3
0.518776,-1877.54
0.523704,-2467.58
0.523879,-1108.49
0.527817,-1308.32
0.528052,148.697
0.528145,-573.369
0.531986,329.757
0.532279,1239.32
0.532402,787.911
0.536073,-1250.93
0.538676,855.868
0.548039,1350.83
0.549548,509.271
0.550248,-1367.72
0.55135,56.3473
0.554193,-993.535
0.556586,-1793.73
0.557309,1282.68
0.566081,-1635.14
0.566362,-3811.11
0.567434,767.758
0.56794,558.845
0.571291,1754.61
0.572013,258.015
0.57687,552.483
0.578046,-1209.62
0.578718,-282.883
0.58303,2033.73
0.583714,-632.856
0.588622,-675.425
0.590128,-1869.5
0.590607,-1383.53
0.590628,-454.352
0.591214,-416.694
0.602622,946.228
0.603397,521.519
0.603558,-1524.42
0.614225,1616.65
0.620087,-1309.69
0.620946,-3747.74
0.626318,-722.882
0.629169,-1419.91
0.633112,-739.92
0.635354,136.382
0.637858,890.563
0.63941,3845.81
0.639441,98.501
0.639512,-2251.08
0.650485,-953.93
0.653212,-369.57
0.65323,1300.84
0.657432,-3873.78
0.657734,-3219.86
0.657995,382.363
0.661485,-20.8793
0.66551,1093.73
0.667567,-1175.19
0.676878,524.186
0.678103,844.968
0.684935,-317.906
0.687564,833.407
0.694211,-643.191
0.694835,-869.408
0.704182,-1042.9
0.704506,-489.041
0.704654,669.512
0.704839,-4512.31
0.710231,1007.17
0.710923,729.28
0.712698,-514.025
0.714225,-189.752
0.717463,-1018.48
0.717526,-1328.98
0.721001,-1261.25
0.723535,348.021
0.729624,-1534.43
0.72966,-1146.05
0.729762,1112.31
0.729844,-142.247
0.73016,-2650.85
0.730902,-320.992
0.732845,-141.693
0.732867,622.531
0.736629,-113.893
0.742919,-2955.76
0.743632,-2640.6
0.743778,-712.755
0.744773,-140.17
0.749131,1010.53
0.74984,1671.63
0.752098,158.667
0.754173,-831.597
0.755799,-1199.89
0.762347,212.609
0.763865,427.437
0.76559,-852.356
0.771089,2974.33
0.773119,307.602
0.776821,526.175
0.777693,-1033.88
0.780571,-2570.01
0.80039,-1487.75
0.802582,-1271.68
0.805208,-1267.56
0.806949,-445.821
0.813517,-1767.41
0.816482,923.12
0.820476,-1449.26
0.825465,-103.402
0.827632,272.415
0.829523,1278
0.837562,-1249.74
0.843259,463.351
0.84828,-1680.94
0.860278,662.413
0.860872,-256.569
0.862216,5.13262
0.865405,1567.49
0.869308,2709.55
0.873162,-1016.88
0.874082,1227.13
0.874215,417.167
0.87799,-524.648
0.878283,874.054
0.884414,1039.62
0.890099,-2672.64
0.890631,-1641.86
0.891395,-904.744
0.891607,395.191
0.893673,119.306
0.896481,-12.0523
0.897596,487.165
0.900519,640.221
0.903144,666.864
0.905192,2204.57
0.907852,471.599
0.908033,1255.71
0.917225,-3810.79
0.920586,326.041
0.92098,885.271
0.925322,-1464.47
0.926176,-513.513
0.927898,-246.019
0.937478,-562.709
0.951336,-827.859
0.958064,1745.05
0.958419,-320.491
0.961745,-1978.31
0.964806,405.968
0.969686,-1481.13
0.971824,-21.2745
0.972871,-311.353
0.973162,-630.807
0.979921,-2212.8
0.981915,-524.418
0.984995,-1340.21
0.987965,-783.426
0.988442,1898.91
0.990865,-1146.45
0.992758,-4596.92
0.993338,-1411.22
1.00072,-219.114
1.00528,-538.53
1.00535,-1134.06
1.01364,-276.209
1.01488,-233.834
1.01651,1379.61
1.01832,-1177.21
1.0191,-662.217
1.02467,-685.811
1.02545,-80.9689
1.02781,448.297
1.02981,-1427.53
1.03051,-1182.66
1.03139,-106.568
1.0408,-369.542
1.04743,663.521
1.04943,-2375.78
1.04996,-476.304
1.05718,-1793.06
1.0585,2638.7
1.06241,158.444
1.06373,-1028.99
1.0673,720.457
1.0701,1085
1.07274,-963.967
1.07276,-93.8895
1.07495,-891.52
1.07512,-666.24
1.07794,75.683
1.0858,187.736
1.09747,-33.5307
1.09795,2708.41
1.11346,-1538.88
1.11777,-2243.5
1.1207,-940.672
1.12465,-1034.43
1.12613,-2055.77
1.13784,-475.043
1.14113,-537.982
1.15299,-1027.64
1.15528,-435.064
1.15545,-1352.78
1.15784,-1176.54
1.15939,180.94
1.15986,251.689
1.16211,-1305.32
1.16367,-298.442
1.16947,-793.485
1.17635,1650.7
1.17807,-469.727
1.17833,236.869
1.1828,-722.433
1.18482,-212.602
1.18623,-2873.76
1.18777,-729.701
1.19152,-1864.95
1.19391,-1959.6
1.20997,562.391
1.21385,-1272.92
1.21929,-566.285
1.22628,-597.107
1.23577,3474.6
1.2418,-110.013
1.2423,1675.96
1.24312,-1088.18
1.24329,-116.847
1.25167,-3128.01
1.25296,665.368
1.2552,184.75
1.2572,-625.81
1.26327,-223.42
1.26931,-343.196
1.27905,-1583.89
1.28673,645.578
1.29232,556.915
1.30002,-1216.89
1.30078,1492.29
1.30429,960.325
1.32768,-1970.39
1.33044,-961.804
1.33527,-517.775
1.33653,-124.208
1.33809,104.302
1.35235,-1571.46
1.35282,-52.4205
1.36127,-1816.25
1.3728,422.023
1.38017,-629.398
1.38316,1140.32
1.38535,-870.128
1.38938,-379.104
1.39017,2529.03
1.41497,-83.9595
1.42172,173.953
1.43032,-1832.26
1.46876,526.152
1.47734,538.041
1.47784,-561.47
1.48111,913.938
1.48139,26.7292
