Pressure, Change in distance between ball and goal
0,-380.772
0.00111677,2969.94
0.00885666,-433.269
0.0207792,-3788.47
0.0286287,-951.342
0.0299821,-515.015
0.0426375,-2058
0.0451341,-620.619
0.0484102,160.907
0.0485514,-932.354
0.0601488,-322.448
0.061657,-672.703
0.0641018,2675.68
0.0642203,-862.468
0.0790496,-515.614
0.0804071,-390.961
0.0822587,210.829
0.0891178,2117.43
0.102639,377.977
0.103193,-4514.83
0.104123,-2828.13
0.104212,-126.262
0.111907,-453.171
0.115327,-542.946
0.121571,-3054.57
0.123766,-841.607
0.126034,-615.162
0.136168,859.504
0.136838,-1357.28
0.142782,-739.321
0.148116,-4040.16
0.148201,-1629.72
0.152559,-1388.79
0.171872,526.968
0.18468,227.133
0.192325,-1265.59
0.192757,118.983
0.200318,2407.98
0.204929,1057.81
0.206551,-2244.79
0.212114,121.318
0.214018,-1886.53
0.214964,139.977
0.217498,-61.1874
0.221253,-2661.07
0.237787,-1145.92
0.238129,1807.61
0.239109,33.981
0.246577,-565.777
0.250988,-1004.14
0.25338,-550.945
0.254641,-983.408
0.260284,-1204.84
0.261808,-396.488
0.262959,-1282.87
0.263017,-561.556
0.263259,-2101.37
0.263569,-833.825
0.264679,-2443.81
0.265408,-3550.46
0.266906,1970.35
0.268089,-1665.89
0.273938,-169.964
0.2757,-1780.98
0.279607,-1789.71
0.280599,-4916.56
0.282542,-1675.04
0.287279,1045.17
0.288669,-1297.44
0.291635,-385.328
0.299755,306.329
0.301796,-425.472
0.302317,-665.328
0.30838,722.516
0.314977,-89.3278
0.319645,1422.49
0.329992,622.426
0.333016,858.519
0.336221,-1112.28
0.340228,-141.475
0.340444,-1571.04
0.342336,1433.44
0.34636,-323.998
0.346844,1587.42
0.354567,-1955.32
0.35513,-137.804
0.357759,-1725.55
0.359564,683.032
0.3605,-181.348
0.361342,769.998
0.362691,992.056
0.363927,196.654
0.3679,-2408.36
0.376075,248.185
0.390038,-1615.35
0.39134,110.179
0.395041,-1985.75
0.395281,-4315.02
0.398247,-193.439
0.400105,760.947
0.400527,-2778.22
0.411562,1265.37
0.411668,-1993.33
0.416645,-2451.11
0.417997,1651.23
0.420491,-1319.71
0.42708,-701.004
0.431256,-325.057
0.432361,299.346
0.435563,-1719.1
0.437873,-1893.84
0.441301,-1134.92
0.443588,513.803
0.447988,-2234.92
0.45012,-644.069
0.450715,-1903.94
0.453919,149.757
0.454049,-2144.37
0.456031,-281.766
0.45625,-797.16
0.458807,-2287.57
0.460906,686.478
0.464229,3066.23
0.466119,831.34
0.471219,-1090.18
0.473077,1977.12
0.476657,-959.107
0.478387,559.988
0.480468,-3795.46
0.482118,-2566.83
0.483259,76.4613
0.484384,-1329.01
0.486554,-769.124
0.487313,1331.03
0.488933,-805.842
0.488971,-831.043
0.489437,340.941
0.489514,-485.398
0.489774,2.76024
0.490194,1457.99
0.491766,-2670.33
0.496975,328.765
0.500876,-250.689
0.502233,-1344.67
0.504045,162.72
0.508013,-1509.09
0.510288,-319.504
0.512984,359.718
0.51507,-399.79
0.515474,-71.0222
0.518696,-469.235
0.519664,-572.482
0.52192,-1105.19
0.522736,-2173.7
0.524554,-227.066
0.526823,-1032.21
0.52918,-537.076
0.529993,-759.463
