Pressure, Change in distance between ball and goal
0,-286.618
0,-380.772
0.00966502,-1664.93
0.0182178,-1517.22
0.0197603,-957.839
0.0212545,-1505.37
0.0286287,-951.342
0.0353918,-3623.6
0.037637,-1654.55
0.0426375,-2058
0.0451341,-620.619
0.0482484,1905.74
0.0485514,-932.354
0.0500672,1346.44
0.0566905,-1468.56
0.057283,-1177.41
0.0631977,-512.251
0.0641018,2675.68
0.0726477,826.836
0.0734955,-2016.85
0.0738652,449.104
0.0748267,-2559.36
0.0756535,-407.746
0.077366,-262.178
0.0782524,2744.41
0.0792345,171.276
0.0793117,570.06
0.0818547,496.222
0.0822587,210.829
0.0845816,-175.662
0.0866898,-1135.34
0.0964664,526.655
0.0977212,823.895
0.0982237,-834.057
0.100434,-1128.15
0.109103,-1605.15
0.112634,3347.61
0.112736,288.01
0.114767,-1852.49
0.114926,-468.581
0.115327,-542.946
0.115445,1654.49
0.117475,1376.42
0.117558,-2464.36
0.119328,-872.352
0.123766,-841.607
0.124414,397.559
0.135683,-1800.08
0.139823,1146.43
0.140451,350.98
0.141192,202.174
0.142782,-739.321
0.143326,-1255.86
0.143534,-973.484
0.144446,-645.999
0.145016,-209.606
0.146083,390.232
0.146255,-436.172
0.149029,312.69
0.149633,-1546.92
0.152559,-1388.79
0.157523,-875.037
0.161434,794.604
0.161499,-269.077
0.163096,243.74
0.165484,602.558
0.166155,-730.398
0.167854,-1911.68
0.167884,523.331
0.171351,-1664.09
0.171872,526.968
0.178463,-3129.55
0.178506,-1527.69
0.179101,-427.129
0.179567,-429.696
0.181122,1644.42
0.18197,-4653.21
0.184388,-784.34
0.18468,227.133
0.184964,-943.974
0.190131,-343.344
0.192325,-1265.59
0.196321,-968.853
0.199009,-668.833
0.20042,-1743.92
0.20193,408.591
0.204753,-846.447
0.204917,443.884
0.206188,16.5729
0.206551,-2244.79
0.207777,-163.997
0.209356,-439.468
0.209916,-1523.3
0.214321,580.075
0.214793,-1245.77
0.214964,139.977
0.215914,-473.318
0.216105,1906.4
0.217403,-795.96
0.21783,-1433.36
0.219704,-233.108
0.231721,-1392.25
0.231817,890.223
0.234001,-1159.77
0.236503,-2653.91
0.237721,-1250.57
0.239203,372.057
0.240082,-646.85
0.243649,-5007.22
0.244467,-592.77
0.244965,-595.566
0.245298,-1028.3
0.245507,-115.029
0.246415,415.299
0.246577,-565.777
0.247068,-1272.53
0.248671,-415.065
0.250988,-1004.14
0.251346,-531.698
0.252239,310.857
0.25338,-550.945
0.253859,856.941
0.254641,-983.408
0.25636,2477.95
0.25656,-395.809
0.259378,-806.579
0.260284,-1204.84
0.261914,762.132
0.263017,-561.556
0.264394,-3266.91
0.264679,-2443.81
0.266906,1970.35
0.268089,-1665.89
0.269129,-1028.03
0.26962,-2577.75
0.269976,-461.601
0.271293,1343.42
0.274367,419.555
0.274707,869.207
0.275421,1697.58
0.2757,-1780.98
0.278182,605.186
0.278978,-2097.79
0.279162,-891.944
0.282542,-1675.04
0.283738,1618.27
0.283751,-671.102
0.284207,106.443
0.284829,-3150.6
0.288365,70.3961
0.289851,630.019
0.29,296.762
0.292846,-667.333
0.294296,-1455.78
0.29485,1368.4
0.294855,3153.12
0.29656,621.925
0.299755,306.329
0.300188,-2960.89
0.301796,-425.472
0.302469,-73.0531
0.305949,-1875.54
0.306684,-355.034
0.30838,722.516
0.310785,814.285
0.312357,-330.336
0.312433,-1563.63
0.314977,-89.3278
0.315502,-969.746
0.317213,629.653
0.318172,2239.67
0.318983,-2407.8
0.319645,1422.49
0.324936,1524.8
0.326776,-314.275
0.328252,191.8
0.329208,763.923
0.330356,-4336.4
0.333016,858.519
0.33327,-2148.63
0.334127,1616.25
0.334645,1145.67
0.335883,-2498.53
0.339644,-985.354
0.340516,394.24
0.342336,1433.44
0.342968,-966.666
0.344427,-1114.96
0.344581,-229.742
0.344654,-365.877
0.344968,28.2281
0.34636,-323.998
0.346799,-839.85
0.347076,198.42
0.351637,-583.472
0.354567,-1955.32
0.356018,-680.41
0.358313,-2503.07
0.359564,683.032
0.361342,769.998
0.362163,-804.845
0.362691,992.056
0.363927,196.654
0.365332,-1425.53
0.365801,-397.532
0.365908,1250.02
0.365917,-725.726
0.367263,714.593
0.36777,-935.955
0.3679,-2408.36
0.368514,-455.148
0.368987,-1605.27
0.370798,133.822
0.376284,-1385.45
0.377961,-575.864
0.381645,1324.78
0.381753,-349.945
0.382413,-1097.03
0.38357,-507.531
0.386993,-1867.79
0.387602,-1351.64
0.388117,-410.616
0.388792,-332.01
0.390606,-818.423
0.390755,-38.7308
0.390806,-864.773
0.395041,-1985.75
0.396902,-321.46
0.398216,-788.402
0.401017,-675.304
0.402705,1209
0.402832,-1320.3
0.402967,-347.626
0.404023,-968.077
0.404317,953.943
0.404317,-707.234
0.404486,-1240.83
0.406108,-826.866
0.406846,-831.316
0.407797,-33.8081
0.411562,1265.37
0.411642,-1490.22
0.413129,-2894.13
0.414678,265.607
0.41731,-1378.97
0.418107,2222.26
0.419724,-885.363
0.420555,3265.62
0.421373,2361.93
0.42457,-1367.18
0.424788,-590.072
0.427143,343.213
0.430913,650.242
0.431188,-1048.47
0.431256,-325.057
0.432361,299.346
0.433864,-727.976
0.436037,-77.5687
0.437873,-1893.84
0.439677,410.958
0.440346,-600.331
0.441464,-461.363
0.44169,1868.27
0.443588,513.803
0.44404,-1040.39
0.447745,-22.6835
0.447988,-2234.92
0.449036,-1250.83
0.449421,-593.998
0.450577,-781.925
0.453671,1310.59
0.454049,-2144.37
0.454695,-730.348
0.455377,1808.9
0.456909,68.4051
0.456969,-1510.86
0.461251,-800.053
0.461426,-721.678
0.462111,-46.5178
0.464843,905.149
0.467431,92.593
0.468426,-1109.44
0.469316,-99.3702
0.469578,-2102.61
0.46963,-1106.57
0.469719,-2433.8
0.471381,1074.23
0.471587,-1482.95
0.473029,623.113
0.473054,2248.19
0.473966,1153.46
0.475342,1064.29
0.475866,270.224
0.476657,-959.107
0.478387,559.988
0.479695,208.438
0.48042,-1505.91
0.480468,-3795.46
0.482118,-2566.83
0.482389,133.365
0.483259,76.4613
0.487354,-1560.08
0.487796,-3296.42
0.488427,164.4
0.490194,1457.99
0.490455,-213.152
0.491766,-2670.33
0.492986,-3672.15
0.493239,-1035.6
0.494584,-968.044
0.494817,-1963.84
0.497462,88.0621
0.497477,143.365
0.49775,-2031.64
0.49847,222.268
0.500505,-191.371
0.500543,-1635.33
0.50128,-5349.59
0.502156,-345.922
0.503295,-50.3062
0.505222,128.502
0.505442,-2955.27
0.505778,-2313.55
0.50625,-956.313
0.507619,63.2912
0.508172,-449.333
0.509277,-820.546
0.512798,-438.682
0.512984,359.718
0.513028,-960.358
0.51507,-399.79
0.515474,-71.0222
0.518072,-863.809
0.518696,-469.235
0.51933,-2407.09
0.520782,-355.705
0.521803,-330.98
0.52199,-92.0306
0.524027,710.18
0.524128,2706.72
0.524468,600.844
0.524554,-227.066
0.525691,257.868
0.52693,-286.263
0.535276,-70.1608
0.537553,-1626.53
0.537982,635.85
0.539146,-2013.33
0.542089,-1567.69
0.542462,-889.171
0.542571,-981.486
0.542692,-1797.76
0.542939,-2.82849
0.543053,-2041.78
0.543776,-3829.72
0.543919,-170.332
0.546732,-15.4724
0.547759,-281.1
0.550733,-3061.35
0.550738,-3325.79
0.555415,-2348.64
0.555936,-1068.07
0.559094,-1389.02
0.559845,809.771
0.560614,126.01
0.561844,-324.036
0.562429,-1285.37
0.563311,-1892.36
0.563884,2342.88
0.566652,-116.769
0.568429,579.36
0.568807,-381.552
0.56971,-653.726
0.569814,-1265.07
0.571343,-374.932
0.572065,-470.006
0.57405,-1059.38
0.574282,-1753.87
0.575184,293.326
0.576082,60.7676
0.576802,-249.46
0.578622,-1648.65
0.579787,-2695.99
0.579899,733.138
0.580581,-1119.64
0.581011,1133.55
0.581166,-1208.9
0.583878,806.724
0.584594,308.347
0.585006,-1231.55
0.585349,-2260.57
0.586549,-712.217
0.588172,-2450.21
0.588792,-2575.27
0.589774,-259.093
0.589793,-1276.38
0.591704,-207.356
0.593614,728.643
0.593805,-1144.05
0.59474,-350.655
0.596154,-2439.21
0.597125,-1617.45
0.597184,-1301.43
0.599175,-233.654
0.599421,-2072.78
0.600725,-136.634
0.600819,-2961.27
0.60208,-587.669
0.603236,390.391
0.605919,-927.087
0.607194,179.365
0.607691,288.418
0.612448,-2101.25
0.614019,367.185
0.614537,-3037.4
0.614787,-1883.12
0.616529,-609.991
0.617844,-1415.53
0.620199,-179.588
0.622629,-1163.36
0.623468,1601.44
0.6239,-566.253
0.628572,157.136
0.629997,-1524.01
0.632359,-2258.8
0.63246,-822.253
0.635589,-1455.07
0.641544,-1546.94
0.642482,-1906.19
0.64362,-1167.27
0.644857,-877.557
0.646382,-484.928
0.647068,-427.691
0.653936,713.001
0.656873,158.511
0.658568,-808.014
0.658653,668.616
0.659961,-1457.52
0.661759,-1107.15
0.661879,-1569.38
0.665529,-1784.69
0.665555,-11.7645
0.665624,-1954.6
0.666339,-723.998
0.667201,-1.06052
0.672078,-1409.4
0.672901,-5074.78
0.674311,532.773
0.677749,-1111.98
0.679427,-1083.32
0.679595,719.661
0.681555,1783.76
0.682019,1506.28
0.686099,-671.251
0.687451,713.962
0.692888,-297.107
0.696158,-921.003
0.698631,-68.794
0.699363,-1096.83
0.699807,-905.501
0.703874,1507.28
0.704911,-1028.72
0.706441,-655.785
0.706708,16.8815
0.711435,-2140.02
0.713497,-1409.44
0.714832,-605.749
0.716205,-1035.24
0.716881,-2424.43
0.717099,-1331.12
0.720553,-395.714
0.722432,1281.55
0.726246,-842.431
0.726816,-764.45
0.730936,-196.203
0.731511,413.893
0.73314,-2804.31
0.733932,-2000.44
0.73548,1482.4
0.736062,-320.356
0.73626,-866.026
0.737241,79.7014
0.739201,36.1855
0.740727,436.686
0.743384,-1683.34
0.744107,-1724.4
0.74577,-3692.78
0.746515,-1503.13
0.746919,-1072.14
0.74756,-1908.05
0.748449,-1480.97
0.751752,-586.467
0.753908,925.704
0.754795,-4296.57
0.757558,-920.675
0.761028,-3001.54
0.762392,-1216.83
0.762575,1582.39
0.763563,139.675
0.765038,-1120.47
0.766035,-936.105
0.767201,-5150.96
0.768078,-667.854
0.769128,-72.8212
0.77133,2317.91
0.771932,-142.811
0.77349,-1560.94
0.775302,-444.698
0.776024,-441.468
0.778976,-1477.56
0.780223,-2789.54
0.783418,-2553.86
0.783718,-1486.68
0.784052,-1386.15
0.785177,-81.2599
0.785433,-1307.04
0.785539,-800.644
0.785578,-1186.57
0.787561,-687.717
0.793217,-467.883
0.79361,932.328
0.793714,-1006.48
0.794077,-506.759
0.794839,-1657.79
0.796353,297.999
0.79735,-1238.15
0.801664,-942.476
0.802511,213.419
0.803661,-50.6682
0.80418,-882.52
0.804734,1685.16
0.806398,2493.82
0.807382,-373.388
0.80768,-752.039
0.808905,-666.314
0.809017,744.823
0.80972,-63.6925
0.81066,1347.22
0.814645,2403.79
0.815135,-1583.09
0.815674,-327.503
0.816071,-1179.1
0.817706,254.586
0.817985,-1629.78
0.819313,-227.472
0.823221,-2232.51
0.826688,1028.17
0.830053,-602.573
0.830859,57.9849
0.831201,-1529.59
0.83123,1079.93
0.83145,-1638.7
0.833547,-2507.53
0.837235,17.0739
0.838198,704.978
0.840725,-606.344
0.842242,-1486.12
0.842344,-2560.38
0.842959,-978.658
0.84435,-3056.3
0.844529,818.369
0.847395,-1396.07
0.853241,-2354.7
0.854059,-2186.37
0.856253,16.3116
0.857408,-2642.5
0.860307,-1440.41
0.86068,-791.967
0.860725,-2974.86
0.863401,1709.95
0.863475,1406.14
0.864328,714.926
0.864353,1087.66
0.864531,-3628.81
0.86713,247.458
0.867757,-366.984
0.868067,442.961
0.869418,-160.079
0.871411,-2440.98
0.871507,718.531
0.873241,-594.858
0.876017,-971.619
0.877748,-422
0.87933,1250.08
0.880884,-876.336
0.881913,-2349.78
0.882075,978.663
0.883921,-816.076
0.885879,-1505.43
0.894991,376.696
0.900368,-462.34
0.90142,-524.53
0.905935,-273.197
0.906386,27.4589
0.909441,-624.578
0.912458,-696.002
0.913762,63.6827
0.918152,916.003
0.91829,-72.8302
0.919772,231.114
