Pressure, Change in distance between ball and goal
0,-211.101
0,967.246
0,836.035
0.0144946,-2186.59
0.0147384,-2088.74
0.0155164,2050.48
0.0188714,-1051.15
0.020056,-1392.99
0.021188,428.867
0.0276303,269.577
0.0280893,1267.93
0.0294694,-1742.88
0.0319079,470.23
0.0335198,268.823
0.0373238,-867.103
0.0374732,-734.997
0.0386828,-391.667
0.0388802,-1275.51
0.040246,-616.198
0.0413657,-1459.18
0.0490316,1077.62
0.049116,-1271.3
0.0537428,246.235
0.0540445,-4401.1
0.0560214,305.435
0.0576122,-824.502
0.0576873,-973.142
0.0578738,1045.21
0.0579552,-1044.07
0.0582661,-1804.68
0.0603652,2256.27
0.0613561,-1281.74
0.0617339,-1156.08
0.0639001,283.03
0.0644489,-77.8772
0.0651684,-454.416
0.0657052,-2582.51
0.0679471,83.6716
0.0704666,1460.55
0.0708055,-991.238
0.0713998,1207.15
0.0763877,50.0298
0.0775673,209.724
0.0812223,1068.23
0.0816455,-1380.93
0.0825709,411.198
0.0862306,-2547.3
0.0887047,-945
0.0888938,-430.716
0.0934574,534.059
0.0935643,-562.343
0.0937801,-590.68
0.0967194,-16.8176
0.0972255,-2767.69
0.0995301,274.732
0.100054,331.249
0.10075,803.936
0.101162,-275.158
0.101443,-357.895
0.103046,448.454
0.105613,-763.309
0.106738,-688.286
0.107572,-709.49
0.108261,664.851
0.109263,24.5477
0.110988,2165.77
0.112354,611.501
0.114087,2554.55
0.115649,-1041.82
0.115951,-1312.5
0.116254,793.576
0.116382,-1545.08
0.116874,-866.419
0.118188,338.852
0.118832,-477.517
0.119609,-2909.05
0.121085,2115.05
0.121723,-426.008
0.123066,1193.18
0.12431,-1083.18
0.127498,687.603
0.127526,1225.11
0.127907,-226.843
0.128603,-1164.24
0.128772,-269.84
0.129831,-444.193
0.131035,-297.949
0.132735,-327.826
0.134647,-530.287
0.134675,-1756.41
0.135504,1962.04
0.135955,955.938
0.137057,-87.5611
0.138225,-1796.51
0.139505,393.75
0.140892,-1172.18
0.145683,889.564
0.14982,-845.755
0.150658,-1043.03
0.152744,911.089
0.153726,-2945.88
0.154029,-202.896
0.155256,-596.008
0.156868,-581.964
0.157483,-1003.32
0.158387,-738.654
0.160984,-624.438
0.16113,-544.895
0.161416,-321.567
0.163237,2499.76
0.163801,-281.994
0.164134,263.893
0.164505,-1643.12
0.164647,1533.35
0.165702,-730.089
0.165799,-847.346
0.167441,1119.86
0.167856,2176.96
0.168585,-1418.77
0.170026,-698.579
0.173655,-390.637
0.177795,-1427.67
0.177856,1036.53
0.178226,-1511.17
0.179583,-1035.94
0.184329,-1106.65
0.184631,-320.482
0.184903,-221.811
0.187117,-85.5254
0.188041,-1712.57
0.189167,-778.65
0.190266,-347.229
0.192504,-120.148
0.192623,-503.273
0.193024,989.353
0.193641,1655.61
0.196292,-787.383
0.196775,-2863.67
0.199932,361.186
0.202568,-478.161
0.202831,289.453
0.203752,-676.908
0.203795,-308.593
0.204191,2922.82
0.204515,-716.181
0.206624,-845.661
0.207126,46.3624
0.207811,-1597.9
0.208007,-703.128
0.211113,2836.49
0.211236,178.599
0.212872,-1859.35
0.213609,-1705.68
0.215687,228.856
0.216076,1339.06
0.217788,-1131.76
0.218811,196.838
0.219094,-1031.85
0.220012,-1656.9
0.221557,-2615.95
0.222232,631.661
0.222273,-966.111
0.223267,-1614.85
0.223269,24.8065
0.224651,799.885
0.228121,-413.168
0.228578,-3870.21
0.231861,-527.064
0.232478,-457.388
0.232492,-1438.89
0.233745,-742.783
0.235222,-644.656
0.235827,391.527
0.236165,866.471
0.237747,645.627
0.238596,-53.6403
0.243789,-1060.51
0.243917,643.224
0.244435,-457.742
0.244784,-461.655
0.245973,976.737
0.246335,506.658
0.246392,-2009.33
0.246647,-1014.98
0.247031,1183.22
0.248479,476.058
0.24848,-959.584
0.249095,1417.72
0.249733,-531.309
0.250053,33.6044
0.251771,-224.158
0.252044,-239.487
0.252529,-971.447
0.253546,-181.954
0.253567,-1616.16
0.253932,283.786
0.256147,-384.72
0.256276,-2460.38
0.257775,260.606
0.258291,596.491
0.25946,-71.8411
0.259587,-2007.66
0.261508,2193.21
0.262917,137.5
0.263391,-527.439
0.263733,849.483
0.266349,894.12
0.268191,-850.187
0.272834,-1020.57
0.273291,-273.694
0.274266,3897.18
0.27445,482.55
