Pressure, Change in distance between ball and goal
0,731.346
0,-827.29
0,538.019
0.00683333,2319.87
0.00783466,-2177.32
0.0135905,-1226.92
0.0143712,-1117.6
0.0156079,-3352.61
0.0173319,1537.44
0.0233292,73.8873
0.0304427,-943.79
0.0309446,-1832.57
0.0350215,-612.905
0.0360724,2224.99
0.0407282,183.416
0.0451089,46.4269
0.0471529,-2570.92
0.0528444,-365.022
0.056601,1267.12
0.0592833,271.035
0.0602147,-227.118
0.061022,-252.585
0.0637549,1417.21
0.0706718,-108.786
0.0725785,-546.941
0.0751931,-965.253
0.0752917,-909.615
0.0757144,-439.524
0.0757796,-122.342
0.0810024,600.305
0.0810881,-130.164
0.0816364,1643.5
0.0821483,-1823.95
0.0828573,405.793
0.0841833,49.37
0.0862978,-281.193
0.0863922,671.125
0.0864272,-444.565
0.0896269,745.031
0.09047,-1783.42
0.0964886,548.801
0.100304,579.891
0.103441,-473.548
0.104311,2036.18
0.106329,193.159
0.108022,1860.51
0.109088,1343.42
0.109301,1175.57
0.109794,20.4243
0.12156,383.182
0.123355,-120.826
0.124101,797.847
0.124734,-1259.58
0.124903,7.5401
0.126029,120.803
0.133609,-565.46
0.133844,345.111
0.14139,-1538.11
0.145446,-196.255
0.147412,-372.359
0.148794,-229.922
0.154878,-2518.97
0.155265,-155.881
0.158888,3304.46
0.159319,-1482.9
0.159797,306.307
0.161878,1758.2
0.16581,304.045
0.168226,1266.09
0.169408,347.248
0.171227,-458.789
0.171548,-185.614
0.172592,202.902
0.175752,-2986.8
0.178053,-667.706
0.178246,-100.602
0.178256,-1095.36
0.179345,-646.896
0.179777,273.473
0.180144,427.024
0.181201,-1565.89
0.181483,-2378.56
0.181808,-2438.83
0.182865,-1124.72
0.184046,76.9583
0.184908,-2504.63
0.186868,37.5544
0.188546,-953.459
0.188946,-1.34962
0.191284,-456.447
0.19143,732.046
0.192003,-881.439
0.193277,2237.66
0.193642,-1434.14
0.196851,-335.491
0.20223,-492.725
0.202379,1596.71
0.202748,-1189.13
0.203511,-245.69
0.204303,-1329.21
0.205182,-325.569
0.206753,-1103.84
0.206783,-851.887
0.20755,-341.758
0.208034,-515.955
0.208767,-409.195
0.209304,-495.19
0.210862,-821.951
0.216206,-2580.62
0.216577,-3624.28
0.217528,-2377.91
0.219955,-850.354
0.22114,358.196
0.225636,-949.119
0.227354,-1741.19
0.22763,-2329.34
0.230034,-569.271
0.230336,-1557.08
0.231146,-1433.1
0.232796,-777.879
0.232846,-83.8024
0.235538,1443.55
0.23906,-1429.77
0.241034,-2828.36
0.241057,601.734
0.243716,-548.628
0.244044,142.514
0.245166,600.949
0.245878,-983.791
0.24609,1291.97
0.246519,280.219
0.247964,-19.9087
0.24883,-2076.34
0.251306,1349.62
0.251425,-1365.63
0.251537,1478.98
0.252599,-2223.01
0.254934,1415.79
0.256134,-581.782
0.257179,-2602.62
0.25734,-713.158
0.257553,-13.5781
0.257618,72.9967
0.258464,-1688.55
0.258643,-549.603
0.259883,-939.476
0.261689,-1356.14
0.262685,698.466
0.264214,-508.957
0.265549,745.517
0.265876,1381.13
0.26773,-355.752
0.272725,-986.004
0.273131,-1071.23
0.273829,2030.62
0.274766,-862.652
0.276148,-2163.04
0.27637,1158.62
0.276458,-755.496
0.277392,-657.925
0.278244,0.609497
0.279026,-2568.79
0.280941,-623.449
0.281179,758.809
0.282322,771.936
0.282571,-1064.96
0.283666,-33.9753
0.284676,-634.252
0.288522,1841.11
0.288714,-2214.81
0.289361,-1670.41
0.289644,-1077.77
0.289792,-669.136
0.292853,644.147
0.293129,-2577.27
0.293701,-493.924
0.295891,-1505.88
0.29657,-600.023
0.297024,700.086
0.298974,-310.052
0.300111,-1581.19
0.300235,-2570.11
0.302527,-615.759
0.303198,422.462
0.305172,-121.398
0.305302,-1287.59
0.306806,-319.249
0.309052,-694.112
0.309328,2024.05
0.309763,-1581.52
0.310968,-741.927
0.311423,2491.4
0.311615,559.672
0.314221,108.711
0.314254,-936.653
0.314323,-759.291
0.315194,-826.094
0.317489,-2182.62
0.317614,168.98
0.317972,1044.22
0.319268,-477.666
0.320853,-1056.6
0.320905,-386.124
0.323042,-686.819
0.323897,1425.47
0.32488,-340.602
0.325877,-687.804
0.326704,-634.47
0.326999,860.167
0.32875,244.089
0.328873,-246.564
0.329748,-2261.04
0.332062,-2347.84
0.332728,-872.819
0.333227,-3859.8
0.335566,-768.267
0.335612,504.229
0.335749,-404.45
0.338436,-2101.19
0.339405,-628.081
0.339737,-2048.81
0.340989,-1109.15
0.341643,-910.254
0.341667,-2621.28
0.34192,2643.33
0.342313,1441.22
0.343039,-504.761
0.343708,-167.974
0.344071,289.449
0.344717,-259.25
0.344831,-2024.08
0.34531,-664.524
0.345643,-835.417
0.34648,-1763.6
0.346774,-1240.12
0.346796,873.892
0.347379,-89.3842
0.347998,-616.726
0.350709,-2252.73
0.351589,-25.0532
0.352236,-1145.46
0.352448,-1885.55
0.354065,-475.323
0.354838,1307.73
0.357899,-255.524
0.358277,1316.37
0.359873,-1485.73
0.361889,1018.37
0.361961,-2341.22
0.364041,1584.85
0.366009,-1121.07
0.366501,-1966.27
0.367508,-204.49
0.367689,287.891
0.370561,0.828105
0.371132,-117.922
0.372025,2732.24
0.372095,331.543
0.372817,-1396.57
0.374555,707.962
0.375191,54.7056
0.37671,-1561.74
0.37773,1215.02
