Pressure, Change in distance between ball and goal
0.00424389,1117.52
0.00890248,-295.697
0.0138905,2029.01
0.0260716,-721.445
0.0487042,-1084.06
0.0545271,-1835.95
0.068026,49.612
0.0793417,2144.6
0.0904913,-2339.86
0.107333,351.867
0.127209,-322.074
0.133762,1466
0.153286,-42.9177
0.168329,1893.13
0.168676,2154.66
0.190435,2217.37
0.197885,-107.637
0.212059,2602.73
0.223098,4.07838
0.240363,-850.747
0.240805,1642.18
0.249198,454.123
0.254121,2037.79
0.256166,-30.5599
0.256267,-388.265
0.260858,2362.61
0.271875,176.819
0.326784,822.296
0.347732,-24.7631
0.349489,-711.476
0.36219,326.609
0.369432,2079.63
0.371981,564.268
0.376756,2324.7
0.385304,394.278
0.385919,931.955
0.387306,-1166.74
0.392398,2133.91
0.392492,2250.85
0.397649,54.134
0.412387,-1933.27
0.419878,-403.714
0.420624,-803.478
0.427333,-1598.71
0.438195,-210.259
0.449134,257.592
0.453913,-662.563
0.45462,148.919
0.461115,-1606.8
0.465909,2147.5
0.478256,-70.8592
0.503648,-490.099
0.50949,250.399
0.509501,-645.151
0.509809,48.0244
0.513483,1486.32
0.533726,478.748
0.534619,272.852
0.547894,447.145
0.57152,388.905
0.577155,-401.79
0.585399,1110.2
0.594117,-2126.75
0.601958,270.939
0.614695,-1003.85
0.619479,-169.561
0.644971,-683.315
0.656244,-576.876
0.6882,-803.573
0.690248,216.126
0.72792,-91.8736
0.738298,-1751.79
0.776505,-304.794
0.780196,1838.61
0.78262,-316.614
0.794336,-1008.95
0.820368,328.894
0.820891,548.868
0.833372,7.85693
0.833572,516.709
0.84705,266.597
0.873144,255.667
0.902017,-465.057
0.911658,-649.655
0.911805,250.423
0.912767,-374.288
0.916281,-574.99
0.92707,-115.903
0.959363,-1174.14
0.960339,153.906
0.969529,196.138
0.979436,-1036.62
1.00418,1144.98
1.01141,-657.698
1.01681,348.686
1.02262,763.371
1.03592,3581.78
1.04887,-392.578
1.05316,662.886
1.06695,731.202
1.08634,3127.55
1.08937,1929.89
1.10679,131.825
1.11575,376.133
1.12009,554.583
1.16772,-422.625
1.21321,1235.65
1.22129,56.6394
1.2237,997.722
1.22565,3138.61
1.28099,-1965.16
1.29931,-71.3946
1.32975,-38.1455
1.33116,401.118
1.33223,-1024.4
1.34049,389.015
1.37062,1588.1
1.38173,-544.171
1.38316,-1012.66
1.41258,217.284
1.4981,-1368.1
1.53218,-1550.18
1.56511,-582.35
1.56715,2605.58
1.57966,-403.442
1.60478,323.007
1.60924,316.368
1.61479,2119.33
1.62216,-435.956
1.65788,1771.38
1.66316,-585.132
1.6777,7.04489
1.77779,349.335
1.82838,-15.8532
2.01004,358.525
2.01603,375.329
2.14193,-868.218
2.35971,-1394.3
2.4269,-957.786
2.43602,408.939
2.51039,-882.727
2.74418,103.955
2.78359,892.08
2.92493,2203.52
2.95433,748.679
3.15378,3171.23
3.15748,-1970.22
3.44608,-265.866
3.80962,2971.67
3.81797,1317.74
