Pressure, Change in distance between ball and goal
0.0144341,359.641
0.0178461,713.508
0.0290294,-384.27
0.0380911,985.553
0.0553025,-1422.65
0.132166,-114.253
0.141158,-735.886
0.163539,-1750.19
0.192646,-374.254
0.212854,-1108.21
0.215349,565.05
0.228449,902.228
0.230906,659.668
0.254,-603.972
0.264623,30.2294
0.266867,-2066.22
0.288236,-1296.63
0.296737,519.824
0.304947,-2162.46
0.331416,1889.88
0.337593,72.5145
0.340635,176.779
0.387267,-2099.84
0.396628,477.618
0.416303,775.814
0.430076,480.159
0.437676,-1088.66
0.471374,-745.147
0.482359,263.712
0.487785,222.044
0.503687,-97.9697
0.528052,163.344
0.539154,-420.799
0.55135,-10.4347
0.567434,738.051
0.576427,-154.123
0.603558,-1648.64
0.614225,1531.58
0.634768,-153.958
0.637858,821.098
0.649699,-32.6533
0.651533,742.672
0.66551,1031.61
0.671591,593.128
0.684935,-330.888
0.702086,-1775.84
0.702996,-1290.18
0.712717,-115.088
0.713654,892.92
0.726548,-1973.18
0.729624,-1507.21
0.729844,-137.223
0.799938,-1455.53
0.805208,-1267.17
0.806949,-356.309
0.809903,928.898
0.810214,2862.36
0.853486,4003.33
0.884414,1134.58
0.8981,-1084.96
0.907852,543.356
0.908033,1126.55
0.926662,-2440.96
0.948937,679.025
0.953898,392.719
0.987965,-817.787
0.998787,-423.319
1.01651,1375.73
1.08382,57.9489
1.09795,2713.73
1.11208,157.997
1.12498,1995.94
1.14124,1107.32
1.14953,-2.33822
1.15514,2237.57
1.16111,1429.16
1.17807,-507.511
1.22959,1613.83
1.23867,-1206.7
1.2423,1515.84
1.27401,-641.285
1.37487,-1441.2
1.38938,-367.631
1.39017,2712.23
1.40452,1282.49
1.42094,126.794
1.42953,-921.25
1.43624,-574.292
1.43748,355.331
1.48111,910.963
1.55094,202.101
1.56712,138.844
1.60597,1599.01
1.61683,-1177.29
1.64413,544.174
1.67598,-521.219
1.76639,-993.593
1.81937,-1043.75
1.88399,-158.141
1.89224,-153.926
1.95655,-281.12
2.02668,322.87
2.22776,-960.416
2.254,1543.84
2.33707,-1287.59
2.39742,1478.36
2.6658,453.35
2.68257,-699.318
2.83641,102.625
2.96307,-671.454
3.29203,3195.08
3.61118,1527.41
4.58161,-121.394
