Pressure, Change in distance between ball and goal
0,-614.643
0.0368487,-1491.65
0.0491826,-54.9593
0.0663823,-897.915
0.074285,2586
0.103765,258.138
0.115327,-427.439
0.116345,-492.368
0.171872,390.688
0.214964,131.091
0.231495,1384.71
0.250988,-1055.71
0.273938,-182.594
0.274167,-1038.5
0.274754,725.985
0.296583,1593.11
0.30838,626.639
0.320375,2718.33
0.329992,500.394
0.333241,-835.625
0.344645,-1746.68
0.354567,-1940.61
0.361342,763.546
0.3679,-2539.47
0.397221,-1104.62
0.456999,2789.81
0.477776,-1699.26
0.478387,556.414
0.48853,882.832
0.500201,-453.649
0.512976,-52.4941
0.51507,-510.385
0.520928,-154.405
0.537982,665.866
0.538055,476.168
0.543585,-2851.3
0.564615,269.546
0.572065,-491.7
0.58227,562.891
0.588481,1466.67
0.61964,76.6665
0.622607,-625.084
0.623141,1585.44
0.625781,133.019
0.630466,-323.849
0.652987,-1219.39
0.65373,-415.164
0.664343,-625.885
0.667201,9.33869
0.66903,-765.378
0.68329,-916.088
0.68676,-953.08
0.709973,-203.55
0.710176,-417.636
0.720553,-445.589
0.724052,-243.997
0.741266,6.99008
0.830859,-33.9582
0.868067,413.683
0.888876,-259.573
0.890176,-561.387
0.904399,-728.613
0.904495,-1088.36
0.924056,-368.52
0.95283,419.681
0.979764,258.506
0.98944,-751.521
1.00817,173.304
1.01123,-1061.48
1.02546,-2247.2
1.06325,-528.183
1.08158,-1394.92
1.09887,-1224.78
1.14418,1072.11
1.14721,2515.8
1.18251,-1041.21
1.20205,904.086
1.40776,-2255.9
1.45051,-933.867
1.46877,-577.615
1.47683,-799.057
1.48911,-1715.87
1.52902,1713.91
1.57863,935.767
1.60575,-1093.32
1.60882,-272.076
1.62324,192.253
1.62364,1592.29
1.82823,508.908
2.01032,-1773.02
2.26088,289.169
2.37145,-604.724
2.62725,2.98146
2.71564,1038.38
2.83338,-859.103
3.60622,-602.112
3.76482,1254.16
4.01024,-491.544
