MatchId,iId,iStartFrame,iEndFrame
921779,1,1781644,1850743
921779,2,1876512,1950244
921779,3,0,0
921779,4,0,0
921780,1,1799381,1868475
921780,2,1893400,1968537
921780,3,0,0
921780,4,0,0
921784,1,1778351,1848943
921784,2,1872062,1947277
921784,3,0,0
921784,4,0,0
950028,1,1754781,1823859
950028,2,1849252,1924093
950028,3,0,0
950028,4,0,0
950029,1,1777206,1846275
950029,2,1869901,1945691
950029,3,0,0
950029,4,0,0
950030,1,1645022,1714251
950030,2,1739639,1811938
950030,3,0,0
950030,4,0,0
950032,1,1779876,1849269
950032,2,1876347,1948622
950032,3,0,0
950032,4,0,0
950034,1,1780241,1851611
950034,2,1875652,1949196
950034,3,0,0
950034,4,0,0
950035,1,1771076,1840055
950035,2,1865791,1939329
950035,3,0,0
950035,4,0,0
950036,1,1783103,1852137
950036,2,1875034,1945524
950036,3,0,0
950036,4,0,0
950038,1,1801812,1872356
950038,2,1897681,1970935
950038,3,1977014,2000711
950038,4,2004397,2027099
950042,1,1764908,1836149
950042,2,1858641,1930949
950042,3,1936704,1960825
950042,4,1963702,1989657
950044,1,1799912,1870480
950044,2,1894195,1965569
950044,3,0,0
950044,4,0,0
950045,1,1779857,1848948
950045,2,1873143,1949099
950045,3,0,0
950045,4,0,0
950046,1,1777662,1846651
950046,2,1869262,1941172
950046,3,0,0
950046,4,0,0
950050,1,1868634,1939171
950050,2,1963144,2037000
950050,3,0,0
950050,4,0,0
952320,1,1797851,1867368
952320,2,1892100,1967163
952320,3,0,0
952320,4,0,0
952321,1,1777303,1846373
952321,2,1869150,1939642
952321,3,0,0
952321,4,0,0
952322,1,1779535,1849266
952322,2,1872816,1946704
952322,3,0,0
952322,4,0,0
952323,1,1801266,1870267
952323,2,1893993,1963762
952323,3,0,0
952323,4,0,0
952324,1,2007060,2077580
952324,2,2102007,2174201
952324,3,0,0
952324,4,0,0
952325,1,1778088,1845703
952325,2,1868038,1942147
952325,3,1950487,1976157
952325,4,1980491,2006191
952327,1,1780633,1850250
952327,2,1875607,1950025
952327,3,0,0
952327,4,0,0
952328,1,1867881,1937164
952328,2,1961565,2035105
952328,3,0,0
952328,4,0,0
952329,1,1800042,1869325
952329,2,1895201,1968748
952329,3,0,0
952329,4,0,0
952330,1,1866493,1936123
952330,2,1959981,2032288
952330,3,0,0
952330,4,0,0
952331,1,1777640,1848165
952331,2,1871233,1940284
952331,3,0,0
952331,4,0,0
952332,1,1779980,1849376
952332,2,1871245,1945851
952332,3,0,0
952332,4,0,0
952333,1,1780017,1849197
952333,2,1873104,1945154
952333,3,0,0
952333,4,0,0
952334,1,1800430,1869607
952334,2,1893519,1965566
952334,3,0,0
952334,4,0,0
952335,1,1777624,1846818
952335,2,1869440,1943335
952335,3,1950042,1975682
952335,4,1978740,2007332
957726,1,1800674,1869938
957726,2,1893092,1966567
957726,3,0,0
957726,4,0,0
957727,1,1868009,1939024
957727,2,1961643,2033745
957727,3,0,0
957727,4,0,0
957728,1,1778379,1847561
957728,2,1872320,1944767
957728,3,0,0
957728,4,0,0
957729,1,1777559,1846918
957729,2,1869777,1944732
957729,3,1952287,1977800
957729,4,1981305,2005492
957730,1,1778574,1847729
957730,2,1871190,1945955
957730,3,0,0
957730,4,0,0
957731,1,1801766,1870988
957731,2,1894031,1967384
957731,3,1973706,1996337
957731,4,2000189,2024392
957733,1,1777602,1849880
957733,2,1871472,1944610
957733,3,0,0
957733,4,0,0
959317,1,1777484,1848058
959317,2,1870552,1946512
959317,3,0,0
959317,4,0,0
959318,1,1778015,1847041
959318,2,1875593,1949545
959318,3,0,0
959318,4,0,0
959319,1,1779694,1848982
959319,2,1872693,1953064
959319,3,1958688,1982320
959319,4,1986685,2010724
959320,1,1891650,1959360
959320,2,1983071,2057507
959320,3,0,0
959320,4,0,0
966367,1,1800285,1869701
966367,2,1892074,1967292
966367,3,0,0
966367,4,0,0
966368,1,1779176,1849828
966368,2,1873862,1946324
966368,3,0,0
966368,4,0,0
966369,1,1800240,1872623
966369,2,1896141,1970014
966369,3,0,0
966369,4,0,0
966370,1,1869410,1939978
966370,2,1962887,2039162
966370,3,0,0
966370,4,0,0
973105,1,1486705,1557341
973105,2,1582227,1654322
973105,3,0,0
973105,4,0,0
860029,1,1776675,1848667
860029,2,1875460,1949160
860029,3,0,0
860029,4,0,0
860039,1,1796520,1865641
860039,2,1890886,1963004
860039,3,0,0
860039,4,0,0
884036,1,1778910,1848786
884036,2,1874302,1944831
884036,3,0,0
884036,4,0,0
884044,1,1758247,1827978
884044,2,1852554,1924561
884044,3,0,0
884044,4,0,0
884048,1,1798798,1870930
884048,2,1893937,1973480
884048,3,1979497,2003615
884048,4,2006949,2031005
884094,1,1779513,1851609
